freezer,temp,shelf,rack,pullout,insert,row,column,pullout_label,box_label,description,type,item_id
shmoo,-20,1,1,1,1,1,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,1,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,2,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,3,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,4,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,5,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,6,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,6,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,6,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,1,1,6,4,NA,NA,NA,NA,NA
