"allele_id","item_id"
"S000007590-KanMX","rec20145"
"S000007590","rec20145"
"S000000818-KanMX","rec20147"
"S000000818","rec20147"
"S000000819-KanMX","rec20148"
"S000000819","rec20148"
"S000000820-KanMX","rec20149"
"S000000820","rec20149"
"S000000821-KanMX","rec20150"
"S000000821","rec20150"
"S000002127-KanMX","rec20151"
"S000002127","rec20151"
"S000000822-KanMX","rec20152"
"S000000822","rec20152"
"S000000823-KanMX","rec20153"
"S000000823","rec20153"
"S000000824-KanMX","rec20154"
"S000000824","rec20154"
"S000000825-KanMX","rec20155"
"S000000825","rec20155"
"S000000826-KanMX","rec20156"
"S000000826","rec20156"
"S000000827-KanMX","rec20157"
"S000000827","rec20157"
"S000000829-KanMX","rec20159"
"S000000829","rec20159"
"S000000830-KanMX","rec20160"
"S000000830","rec20160"
"S000000832-KanMX","rec20162"
"S000000832","rec20162"
"S000000834-KanMX","rec20164"
"S000000834","rec20164"
"S000000835-KanMX","rec20165"
"S000000835","rec20165"
"S000000836-KanMX","rec20166"
"S000000836","rec20166"
"S000000837-KanMX","rec20167"
"S000000837","rec20167"
"S000000838-KanMX","rec20168"
"S000000838","rec20168"
"S000000839-KanMX","rec20169"
"S000000839","rec20169"
"S000000840-KanMX","rec20170"
"S000000840","rec20170"
"S000028746-KanMX","rec20171"
"S000028746","rec20171"
"S000000841-KanMX","rec20172"
"S000000841","rec20172"
"S000000842-KanMX","rec20173"
"S000000842","rec20173"
"S000000843-KanMX","rec20174"
"S000000843","rec20174"
"S000000844-KanMX","rec20175"
"S000000844","rec20175"
"S000000845-KanMX","rec20176"
"S000000845","rec20176"
"S000000846-KanMX","rec20177"
"S000000846","rec20177"
"S000001954-KanMX","rec20178"
"S000001954","rec20178"
"S000000847-KanMX","rec20179"
"S000000847","rec20179"
"S000028747-KanMX","rec20181"
"S000028747","rec20181"
"S000000849-KanMX","rec20182"
"S000000849","rec20182"
"S000000850-KanMX","rec20183"
"S000000850","rec20183"
"S000000851-KanMX","rec20184"
"S000000851","rec20184"
"S000000852-KanMX","rec20185"
"S000000852","rec20185"
"S000000853-KanMX","rec20186"
"S000000853","rec20186"
"S000000854-KanMX","rec20187"
"S000000854","rec20187"
"S000000855-KanMX","rec20188"
"S000000855","rec20188"
"S000000856-KanMX","rec20189"
"S000000856","rec20189"
"S000000857-KanMX","rec20190"
"S000000857","rec20190"
"S000000858-KanMX","rec20191"
"S000000858","rec20191"
"S000002135-KanMX","rec20192"
"S000002135","rec20192"
"S000000859-KanMX","rec20193"
"S000000859","rec20193"
"S000000860-KanMX","rec20194"
"S000000860","rec20194"
"S000000861-KanMX","rec20195"
"S000000861","rec20195"
"S000000862-KanMX","rec20196"
"S000000862","rec20196"
"S000002958-KanMX","rec20197"
"S000002958","rec20197"
"S000000863-KanMX","rec20198"
"S000000863","rec20198"
"S000000864-KanMX","rec20199"
"S000000864","rec20199"
"S000000867-KanMX","rec20202"
"S000000867","rec20202"
"S000002959-KanMX","rec20204"
"S000002959","rec20204"
"S000000869-KanMX","rec20205"
"S000000869","rec20205"
"S000028748-KanMX","rec20206"
"S000028748","rec20206"
"S000000870-KanMX","rec20207"
"S000000870","rec20207"
