allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000007590-KanMX,bud25,Disruption marked with KanMX,NA,NA,NA
S000000818-KanMX,bim1,Disruption marked with KanMX,NA,NA,NA
S000000819-KanMX,afg3,Disruption marked with KanMX,NA,NA,NA
S000000821-KanMX,isc1,Disruption marked with KanMX,NA,NA,NA
S000002127-KanMX,sbh2,Disruption marked with KanMX,NA,NA,NA
S000000822-KanMX,gpa2,Disruption marked with KanMX,NA,NA,NA
S000000826-KanMX,yat2,Disruption marked with KanMX,NA,NA,NA
S000000830-KanMX,mig3,Disruption marked with KanMX,NA,NA,NA
S000000832-KanMX,chz1,Disruption marked with KanMX,NA,NA,NA
S000000834-KanMX,fir1,Disruption marked with KanMX,NA,NA,NA
S000000835-KanMX,zrg8,Disruption marked with KanMX,NA,NA,NA
S000000836-KanMX,yer034w,Disruption marked with KanMX,NA,NA,NA
S000000837-KanMX,edc2,Disruption marked with KanMX,NA,NA,NA
S000028746-KanMX,yer038w-a,Disruption marked with KanMX,NA,NA,NA
S000000841-KanMX,hvg1,Disruption marked with KanMX,NA,NA,NA
S000000842-KanMX,gln3,Disruption marked with KanMX,NA,NA,NA
S000000843-KanMX,yen1,Disruption marked with KanMX,NA,NA,NA
S000000844-KanMX,mxr1,Disruption marked with KanMX,NA,NA,NA
S000000846-KanMX,erg28,Disruption marked with KanMX,NA,NA,NA
S000001954-KanMX,mei4,Disruption marked with KanMX,NA,NA,NA
S000000847-KanMX,aca1,Disruption marked with KanMX,NA,NA,NA
S000028747-KanMX,yer046w-a,Disruption marked with KanMX,NA,NA,NA
S000000849-KanMX,sap1,Disruption marked with KanMX,NA,NA,NA
S000000850-KanMX,caj1,Disruption marked with KanMX,NA,NA,NA
S000000851-KanMX,tpa1,Disruption marked with KanMX,NA,NA,NA
S000000852-KanMX,rsm18,Disruption marked with KanMX,NA,NA,NA
S000000853-KanMX,jhd1,Disruption marked with KanMX,NA,NA,NA
S000000854-KanMX,hom3,Disruption marked with KanMX,NA,NA,NA
S000000855-KanMX,pic2,Disruption marked with KanMX,NA,NA,NA
S000000856-KanMX,gip2,Disruption marked with KanMX,NA,NA,NA
S000000857-KanMX,his1,Disruption marked with KanMX,NA,NA,NA
S000000858-KanMX,fcy2,Disruption marked with KanMX,NA,NA,NA
S000002135-KanMX,rpl34a,Disruption marked with KanMX,NA,NA,NA
S000000859-KanMX,hmf1,Disruption marked with KanMX,NA,NA,NA
S000000860-KanMX,pet117,Disruption marked with KanMX,NA,NA,NA
S000000861-KanMX,pcl6,Disruption marked with KanMX,NA,NA,NA
S000000862-KanMX,fcy21,Disruption marked with KanMX,NA,NA,NA
S000002958-KanMX,fcy22,Disruption marked with KanMX,NA,NA,NA
S000000863-KanMX,cem1,Disruption marked with KanMX,NA,NA,NA
S000000864-KanMX,gpp2,Disruption marked with KanMX,NA,NA,NA
S000000867-KanMX,icl1,Disruption marked with KanMX,NA,NA,NA
S000002959-KanMX,yer066c-a,Disruption marked with KanMX,NA,NA,NA
S000000869-KanMX,rgi1,Disruption marked with KanMX,NA,NA,NA
