allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000000001,TFC3,NA,NA,NA,NA
S000000002,VPS8,NA,NA,NA,NA
S000000003,EFB1,NA,NA,NA,NA
S000000004,SSA1,NA,NA,NA,NA
S000000005,ERP2,NA,NA,NA,NA
S000000006,FUN14,NA,NA,NA,NA
S000000007,SPO7,NA,NA,NA,NA
S000000008,MDM10,NA,NA,NA,NA
S000000009,SWC3,NA,NA,NA,NA
S000000010,CYS3,NA,NA,NA,NA
S000000011,DEP1,NA,NA,NA,NA
S000000012,SYN8,NA,NA,NA,NA
S000000013,NTG1,NA,NA,NA,NA
S000000014,TPD3,NA,NA,NA,NA
S000000015,PSK1,NA,NA,NA,NA
S000000016,LDS1,NA,NA,NA,NA
S000000017,FUN30,NA,NA,NA,NA
S000000018,ATS1,NA,NA,NA,NA
S000000019,CCR4,NA,NA,NA,NA
S000000020,FUN26,NA,NA,NA,NA
S000000021,PMT2,NA,NA,NA,NA
S000000022,LTE1,NA,NA,NA,NA
S000000023,MAK16,NA,NA,NA,NA
S000000024,DRS2,NA,NA,NA,NA
S000000025,SAW1,NA,NA,NA,NA
S000000026,FRT2,NA,NA,NA,NA
S000000027,MYO4,NA,NA,NA,NA
S000000028,SNC1,NA,NA,NA,NA
S000000029,GIP4,NA,NA,NA,NA
S000000030,PRP45,NA,NA,NA,NA
S000000031,POP5,NA,NA,NA,NA
S000000032,MTW1,NA,NA,NA,NA
S000000033,FUN12,NA,NA,NA,NA
S000000034,RBG1,NA,NA,NA,NA
S000000035,YAL037W,NA,NA,NA,NA
S000000036,CDC19,NA,NA,NA,NA
S000000037,CYC3,NA,NA,NA,NA
S000000038,CLN3,NA,NA,NA,NA
S000000039,CDC24,NA,NA,NA,NA
S000000040,ERV46,NA,NA,NA,NA
S000000041,PTA1,NA,NA,NA,NA
S000000042,GCV3,NA,NA,NA,NA
S000000043,YAL045C,NA,NA,NA,NA
S000000044,AIM1,NA,NA,NA,NA
S000000045,SPC72,NA,NA,NA,NA
S000000046,GEM1,NA,NA,NA,NA
S000000047,AIM2,NA,NA,NA,NA
S000000048,OAF1,NA,NA,NA,NA
S000000049,FLC2,NA,NA,NA,NA
S000000050,ACS1,NA,NA,NA,NA
S000000051,PEX22,NA,NA,NA,NA
S000000052,GPB2,NA,NA,NA,NA
S000000054,CNE1,NA,NA,NA,NA
S000000055,ECM1,NA,NA,NA,NA
S000000056,BDH1,NA,NA,NA,NA
S000000057,BDH2,NA,NA,NA,NA
S000000058,GDH3,NA,NA,NA,NA
S000000059,FLO9,NA,NA,NA,NA
S000000060,YAL064W,NA,NA,NA,NA
S000000061,YAL066W,NA,NA,NA,NA
S000000062,SEO1,NA,NA,NA,NA
S000000063,NUP60,NA,NA,NA,NA
S000000064,SWD1,NA,NA,NA,NA
S000000065,RFA1,NA,NA,NA,NA
S000000066,SEN34,NA,NA,NA,NA
S000000067,YAR009C,NA,NA,NA,NA
S000000068,YAR010C,NA,NA,NA,NA
S000000069,BUD14,NA,NA,NA,NA
S000000070,ADE1,NA,NA,NA,NA
S000000071,KIN3,NA,NA,NA,NA
S000000072,CDC15,NA,NA,NA,NA
S000000073,PAU7,NA,NA,NA,NA
S000000074,YAR023C,NA,NA,NA,NA
S000000075,UIP3,NA,NA,NA,NA
S000000076,YAR028W,NA,NA,NA,NA
S000000077,YAR029W,NA,NA,NA,NA
S000000078,PRM9,NA,NA,NA,NA
S000000079,MST28,NA,NA,NA,NA
S000000080,YAT1,NA,NA,NA,NA
S000000081,SWH1,NA,NA,NA,NA
S000000083,YAR047C,NA,NA,NA,NA
S000000084,FLO1,NA,NA,NA,NA
S000000085,YAR053W,NA,NA,NA,NA
S000000086,YAR060C,NA,NA,NA,NA
S000000087,YAR061W,NA,NA,NA,NA
S000000088,YAR062W,NA,NA,NA,NA
S000000089,YAR064W,NA,NA,NA,NA
S000000091,YAR068W,NA,NA,NA,NA
S000000092,YAR069C,NA,NA,NA,NA
S000000093,YAR070C,NA,NA,NA,NA
S000000094,PHO11,NA,NA,NA,NA
S000000095,IMD1,NA,NA,NA,NA
S000000097,ECM15,NA,NA,NA,NA
S000000098,HTB2,NA,NA,NA,NA
S000000099,HTA2,NA,NA,NA,NA
S000000100,UTP20,NA,NA,NA,NA
S000000101,PDR3,NA,NA,NA,NA
S000000102,LDB7,NA,NA,NA,NA
S000000103,SLA1,NA,NA,NA,NA
S000000104,HIR1,NA,NA,NA,NA
S000000105,ALK2,NA,NA,NA,NA
S000000106,YBL010C,NA,NA,NA,NA
S000000107,SCT1,NA,NA,NA,NA
S000000108,YBL012C,NA,NA,NA,NA
S000000109,FMT1,NA,NA,NA,NA
S000000110,RRN6,NA,NA,NA,NA
S000000111,ACH1,NA,NA,NA,NA
S000000112,FUS3,NA,NA,NA,NA
S000000113,PEP1,NA,NA,NA,NA
S000000114,POP8,NA,NA,NA,NA
