query_id,query_name,query_annotation,control_query_id
J1603,irc21,strains,J1801
J1661,rad5,strains,J1801
J1663,rad18,strains,J1801
J1667,rad14,strains,J1801
J1669,rev1,strains,J1801
J1671,hrq1,strains,J1801
J1673,rad61,strains,J1801
J1677,mlh3,strains,J1801
J1679,slx4,strains,J1801
J1681,rad1,strains,J1801
J1683,rev3,strains,J1801
J1685,rad10,strains,J1801
J1693,rad54,strains,J1801
J1694,dhh1,strains,J1801
J1699,csm3,strains,J1801
J1701,mms2,strains,J1801
J1725,yku70,strains,J1801
J1727,dbf2,strains,J1801
J1729,exo1,strains,J1801
J1733,ddc1,strains,J1801
J1735,psy2,strains,J1801
J1737,rev7,strains,J1801
J1739,saw1,strains,J1801
J1743,rdh54,strains,J1801
J1745,top3,strains,J1801
J1747,ctf4,strains,J1801
J1749,swi4,strains,J1801
J1751,slx8,strains,J1801
J1753,psy4,strains,J1801
J1762,rad52,strains,J1801
J1767,sgs1,strains,J1801
J1769,esc2,strains,J1801
J1771,rrm3,strains,J1801
J1774,rad27,strains,J1801
J1776,rtt101,strains,J1801
J1778,asf1,strains,J1801
J1781,pso2,strains,J1801
J1783,mph1,strains,J1801
J1785,srs2,strains,J1801
J1787,dia2,strains,J1801
J1789,pif1,strains,J1801
J1801,leu2,strains,J1801
U3102,shu1,strains,J1801
U3103,csm2,strains,J1801
U3116,shu2,strains,J1801
U3116-1,shu2,strains,J1801
U3117,psy3,strains,J1801
