strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,1,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,2,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,3,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,4,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,5,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,6,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,7,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,8,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,9,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,10,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,11,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,12,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,13,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,14,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,15,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,16,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,17,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,18,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,19,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,20,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,21,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,22,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,23,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,1,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,1,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,2,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,3,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2076,1,2,4,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,5,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2478,1,2,6,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,7,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2479,1,2,8,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,9,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2480,1,2,10,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,11,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2481,1,2,12,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,13,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2482,1,2,14,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,15,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2483,1,2,16,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,17,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2484,1,2,18,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,19,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2485,1,2,20,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,21,TRUE,
MATa-CTF4-Group2,rec2458 pWJ2486,1,2,22,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,23,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,2,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,1,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,2,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2486,1,3,3,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,4,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2485,1,3,5,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,6,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2484,1,3,7,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,8,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2483,1,3,9,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,10,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2482,1,3,11,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,12,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2481,1,3,13,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,14,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2480,1,3,15,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,16,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2479,1,3,17,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,18,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2478,1,3,19,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,20,TRUE,
MATa-CTF4-Group2,rec3423 pWJ2076,1,3,21,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,22,TRUE,
MATa-CTF4-Group2,rec3423 pWJ1781,1,3,23,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,3,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,1,TRUE,
MATa-CTF4-Group2,rec5550 pWJ1781,1,4,2,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,3,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2076,1,4,4,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,5,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2478,1,4,6,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,7,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2479,1,4,8,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,9,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2480,1,4,10,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,11,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2481,1,4,12,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,13,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2482,1,4,14,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,15,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2483,1,4,16,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,17,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2484,1,4,18,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,19,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2485,1,4,20,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,21,TRUE,
MATa-CTF4-Group2,rec5550 pWJ2486,1,4,22,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,23,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,4,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,1,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,2,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2486,1,5,3,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,4,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2485,1,5,5,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,6,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2484,1,5,7,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,8,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2483,1,5,9,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,10,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2482,1,5,11,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,12,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2481,1,5,13,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,14,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2480,1,5,15,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,16,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2479,1,5,17,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,18,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2478,1,5,19,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,20,TRUE,
MATa-CTF4-Group2,rec4205 pWJ2076,1,5,21,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,22,TRUE,
MATa-CTF4-Group2,rec4205 pWJ1781,1,5,23,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,5,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,1,TRUE,
MATa-CTF4-Group2,rec540 pWJ1781,1,6,2,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,3,TRUE,
MATa-CTF4-Group2,rec540 pWJ2076,1,6,4,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,5,TRUE,
MATa-CTF4-Group2,rec540 pWJ2478,1,6,6,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,7,TRUE,
MATa-CTF4-Group2,rec540 pWJ2479,1,6,8,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,9,TRUE,
MATa-CTF4-Group2,rec540 pWJ2480,1,6,10,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,11,TRUE,
MATa-CTF4-Group2,rec540 pWJ2481,1,6,12,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,13,TRUE,
MATa-CTF4-Group2,rec540 pWJ2482,1,6,14,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,15,TRUE,
MATa-CTF4-Group2,rec540 pWJ2483,1,6,16,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,17,TRUE,
MATa-CTF4-Group2,rec540 pWJ2484,1,6,18,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,19,TRUE,
MATa-CTF4-Group2,rec540 pWJ2485,1,6,20,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,21,TRUE,
MATa-CTF4-Group2,rec540 pWJ2486,1,6,22,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,23,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,6,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,1,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,2,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2486,1,7,3,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,4,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2485,1,7,5,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,6,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2484,1,7,7,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,8,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2483,1,7,9,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,10,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2482,1,7,11,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,12,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2481,1,7,13,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,14,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2480,1,7,15,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,16,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2479,1,7,17,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,18,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2478,1,7,19,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,20,TRUE,
MATa-CTF4-Group2,rec6464 pWJ2076,1,7,21,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,22,TRUE,
MATa-CTF4-Group2,rec6464 pWJ1781,1,7,23,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,7,24,TRUE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,8,1,TRUE,
MATa-CTF4-Group2,rec5229 pWJ1781,1,8,2,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,8,3,TRUE,
MATa-CTF4-Group2,rec5229 pWJ2076,1,8,4,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,8,5,TRUE,
MATa-CTF4-Group2,rec5229 pWJ2478,1,8,6,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,8,7,TRUE,
MATa-CTF4-Group2,rec5229 pWJ2479,1,8,8,FALSE,
MATa-CTF4-Group2,rec2458 pWJ1781,1,8,9,TRUE,
MATa-CTF4-Group2,rec5229 pWJ2480,1,8,10,FALSE,
