strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATA-RAD5-variants-1-96,rec6430 pWJ2242,1,1,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ2200,1,2,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ2230,1,3,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ2231,1,4,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ2233,1,5,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ2234,1,6,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ2239,1,7,1,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,1,TRUE,
MATA-RAD5-variants-1-96,rec6430 pWJ1781,1,1,2,FALSE,
MATA-RAD5-variants-1-96,rec6430 pWJ2200,1,2,2,FALSE,
MATA-RAD5-variants-1-96,rec6430 pWJ2230,1,3,2,FALSE,
MATA-RAD5-variants-1-96,rec6430 pWJ2231,1,4,2,FALSE,
MATA-RAD5-variants-1-96,rec6430 pWJ2233,1,5,2,FALSE,
MATA-RAD5-variants-1-96,rec6430 pWJ2234,1,6,2,FALSE,
MATA-RAD5-variants-1-96,rec6430 pWJ2239,1,7,2,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,2,TRUE,
MATA-RAD5-variants-1-96,rec4027 pWJ1781,1,1,3,FALSE,
MATA-RAD5-variants-1-96,rec4027 pWJ2200,1,2,3,FALSE,
MATA-RAD5-variants-1-96,rec4027 pWJ2230,1,3,3,FALSE,
MATA-RAD5-variants-1-96,rec4027 pWJ2231,1,4,3,FALSE,
MATA-RAD5-variants-1-96,rec4027 pWJ2233,1,5,3,FALSE,
MATA-RAD5-variants-1-96,rec4027 pWJ2234,1,6,3,FALSE,
MATA-RAD5-variants-1-96,rec4027 pWJ2239,1,7,3,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,3,TRUE,
MATA-RAD5-variants-1-96,J1804 pWJ1781,1,1,4,FALSE,
MATA-RAD5-variants-1-96,J1804 pWJ2200,1,2,4,FALSE,
MATA-RAD5-variants-1-96,J1804 pWJ2230,1,3,4,FALSE,
MATA-RAD5-variants-1-96,J1804 pWJ2231,1,4,4,FALSE,
MATA-RAD5-variants-1-96,J1804 pWJ2233,1,5,4,FALSE,
MATA-RAD5-variants-1-96,J1804 pWJ2234,1,6,4,FALSE,
MATA-RAD5-variants-1-96,J1804 pWJ2239,1,7,4,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,4,TRUE,
MATA-RAD5-variants-1-96,rec6841 pWJ1781,1,1,5,FALSE,
MATA-RAD5-variants-1-96,rec6841 pWJ2200,1,2,5,FALSE,
MATA-RAD5-variants-1-96,rec6841 pWJ2230,1,3,5,FALSE,
MATA-RAD5-variants-1-96,rec6841 pWJ2231,1,4,5,FALSE,
MATA-RAD5-variants-1-96,rec6841 pWJ2233,1,5,5,FALSE,
MATA-RAD5-variants-1-96,rec6841 pWJ2234,1,6,5,FALSE,
MATA-RAD5-variants-1-96,rec6841 pWJ2239,1,7,5,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,5,TRUE,
MATA-RAD5-variants-1-96,rec4011 pWJ1781,1,1,6,FALSE,
MATA-RAD5-variants-1-96,rec4011 pWJ2200,1,2,6,FALSE,
MATA-RAD5-variants-1-96,rec4011 pWJ2230,1,3,6,FALSE,
MATA-RAD5-variants-1-96,rec4011 pWJ2231,1,4,6,FALSE,
MATA-RAD5-variants-1-96,rec4011 pWJ2233,1,5,6,FALSE,
MATA-RAD5-variants-1-96,rec4011 pWJ2234,1,6,6,FALSE,
MATA-RAD5-variants-1-96,rec4011 pWJ2239,1,7,6,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,6,TRUE,
MATA-RAD5-variants-1-96,rec2804 pWJ1781,1,1,7,FALSE,
MATA-RAD5-variants-1-96,rec2804 pWJ2200,1,2,7,FALSE,
MATA-RAD5-variants-1-96,rec2804 pWJ2230,1,3,7,FALSE,
MATA-RAD5-variants-1-96,rec2804 pWJ2231,1,4,7,FALSE,
MATA-RAD5-variants-1-96,rec2804 pWJ2233,1,5,7,FALSE,
MATA-RAD5-variants-1-96,rec2804 pWJ2234,1,6,7,FALSE,
MATA-RAD5-variants-1-96,rec2804 pWJ2239,1,7,7,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,7,TRUE,
MATA-RAD5-variants-1-96,rec7160 pWJ1781,1,1,8,FALSE,
MATA-RAD5-variants-1-96,rec7160 pWJ2200,1,2,8,FALSE,
MATA-RAD5-variants-1-96,rec7160 pWJ2230,1,3,8,FALSE,
MATA-RAD5-variants-1-96,rec7160 pWJ2231,1,4,8,FALSE,
MATA-RAD5-variants-1-96,rec7160 pWJ2233,1,5,8,FALSE,
MATA-RAD5-variants-1-96,rec7160 pWJ2234,1,6,8,FALSE,
MATA-RAD5-variants-1-96,rec7160 pWJ2239,1,7,8,FALSE,
MATA-RAD5-variants-1-96,rec2458 pWJ1781,1,8,8,TRUE,
MATA-RAD5-variants-1-96,rec4222 pWJ1781,1,1,9,FALSE,
MATA-RAD5-variants-1-96,rec4222 pWJ2200,1,2,9,FALSE,
MATA-RAD5-variants-1-96,rec4222 pWJ2230,1,3,9,FALSE,
MATA-RAD5-variants-1-96,rec4222 pWJ2231,1,4,9,FALSE,
MATA-RAD5-variants-1-96,rec4222 pWJ2233,1,5,9,FALSE,
