strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-cispt-384-hb,rec2458,1,2,2,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec2731,1,2,4,FALSE,yps1-S000004110-1-1-4
MATa-cispt-384-hb,rec733,1,2,6,FALSE,yim1-S000004760-1-3-11
MATa-cispt-384-hb,rec2458,1,2,8,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec738,1,2,10,FALSE,tpp1-S000004765-1-3-19
MATa-cispt-384-hb,rec509,1,2,12,FALSE,pif1-S000004526-1-3-20
MATa-cispt-384-hb,rec2458,1,2,14,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec750,1,2,16,FALSE,mlh1-S000004777-1-5-13
MATa-cispt-384-hb,rec381,1,2,18,FALSE,saw1-S000000025-1-6-16
MATa-cispt-384-hb,rec2458,1,2,20,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec540,1,2,22,FALSE,rad52-S000004494-1-7-12
MATa-cispt-384-hb,rec2458,1,2,24,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec775,1,4,2,FALSE,sgs1-S000004802-1-9-3
MATa-cispt-384-hb,rec2458,1,4,4,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec563,1,4,6,FALSE,rad33-S000004472-1-9-18
MATa-cispt-384-hb,rec785,1,4,8,FALSE,cln1-S000004812-1-9-21
MATa-cispt-384-hb,rec2458,1,4,10,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec787,1,4,12,FALSE,rad14-S000004814-1-9-23
MATa-cispt-384-hb,rec407,1,4,14,FALSE,nup60-S000000063-1-10-8
MATa-cispt-384-hb,rec2458,1,4,16,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec788,1,4,18,FALSE,erg2-S000004815-1-11-1
MATa-cispt-384-hb,rec2690,1,4,20,FALSE,sic1-S000004069-1-12-13
MATa-cispt-384-hb,rec2458,1,4,22,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec2458,1,4,24,TRUE,his3-S000005728-5-7-19
MATa-cispt-384-hb,rec1490,1,6,2,FALSE,rtt109-S000003925-1-12-24
