strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-deletion-384,rec611,1,A,1,TRUE,NA
MATa-deletion-384,rec2730,1,A,2,TRUE,NA
MATa-deletion-384,rec612,1,A,3,TRUE,NA
MATa-deletion-384,rec2731,1,A,4,TRUE,NA
MATa-deletion-384,rec615,1,A,5,TRUE,NA
MATa-deletion-384,blank,1,A,6,TRUE,NA
MATa-deletion-384,blank,1,A,7,TRUE,NA
MATa-deletion-384,rec2732,1,A,8,TRUE,NA
MATa-deletion-384,rec616,1,A,9,TRUE,NA
MATa-deletion-384,rec2733,1,A,10,TRUE,NA
MATa-deletion-384,rec617,1,A,11,TRUE,NA
MATa-deletion-384,rec2734,1,A,12,TRUE,NA
MATa-deletion-384,rec618,1,A,13,TRUE,NA
MATa-deletion-384,rec2735,1,A,14,TRUE,NA
MATa-deletion-384,rec620,1,A,15,TRUE,NA
MATa-deletion-384,rec2736,1,A,16,TRUE,NA
MATa-deletion-384,rec721,1,A,17,TRUE,NA
MATa-deletion-384,rec481,1,A,18,TRUE,NA
MATa-deletion-384,rec722,1,A,19,TRUE,NA
MATa-deletion-384,rec482,1,A,20,TRUE,NA
MATa-deletion-384,rec724,1,A,21,TRUE,NA
MATa-deletion-384,rec483,1,A,22,TRUE,NA
MATa-deletion-384,rec725,1,A,23,TRUE,NA
MATa-deletion-384,rec484,1,A,24,TRUE,NA
MATa-deletion-384,rec1528,1,B,1,TRUE,NA
MATa-deletion-384,blank,1,B,2,TRUE,NA
MATa-deletion-384,blank,1,B,3,TRUE,NA
MATa-deletion-384,rec338,1,B,4,TRUE,NA
MATa-deletion-384,rec1529,1,B,5,TRUE,NA
MATa-deletion-384,rec339,1,B,6,TRUE,NA
MATa-deletion-384,rec1530,1,B,7,TRUE,NA
MATa-deletion-384,rec340,1,B,8,TRUE,NA
MATa-deletion-384,rec1531,1,B,9,TRUE,NA
MATa-deletion-384,rec341,1,B,10,TRUE,NA
MATa-deletion-384,rec1533,1,B,11,TRUE,NA
MATa-deletion-384,rec345,1,B,12,TRUE,NA
MATa-deletion-384,rec1534,1,B,13,TRUE,NA
MATa-deletion-384,rec346,1,B,14,TRUE,NA
MATa-deletion-384,rec1535,1,B,15,TRUE,NA
MATa-deletion-384,rec347,1,B,16,TRUE,NA
MATa-deletion-384,rec1539,1,B,17,TRUE,NA
MATa-deletion-384,rec348,1,B,18,TRUE,NA
MATa-deletion-384,rec1540,1,B,19,TRUE,NA
MATa-deletion-384,rec349,1,B,20,TRUE,NA
MATa-deletion-384,rec1541,1,B,21,TRUE,NA
MATa-deletion-384,rec351,1,B,22,TRUE,NA
MATa-deletion-384,rec1542,1,B,23,TRUE,NA
MATa-deletion-384,rec352,1,B,24,TRUE,NA
MATa-deletion-384,rec726,1,C,1,TRUE,NA
MATa-deletion-384,rec486,1,C,2,TRUE,NA
MATa-deletion-384,rec728,1,C,3,TRUE,NA
MATa-deletion-384,rec487,1,C,4,TRUE,NA
MATa-deletion-384,rec729,1,C,5,TRUE,NA
MATa-deletion-384,rec488,1,C,6,TRUE,NA
MATa-deletion-384,rec731,1,C,7,TRUE,NA
MATa-deletion-384,rec489,1,C,8,TRUE,NA
MATa-deletion-384,rec732,1,C,9,TRUE,NA
MATa-deletion-384,rec490,1,C,10,TRUE,NA
MATa-deletion-384,rec733,1,C,11,TRUE,NA
MATa-deletion-384,rec491,1,C,12,TRUE,NA
MATa-deletion-384,rec734,1,C,13,TRUE,NA
MATa-deletion-384,rec492,1,C,14,TRUE,NA
MATa-deletion-384,rec735,1,C,15,TRUE,NA
MATa-deletion-384,rec507,1,C,16,TRUE,NA
MATa-deletion-384,rec737,1,C,17,TRUE,NA
MATa-deletion-384,rec508,1,C,18,TRUE,NA
MATa-deletion-384,rec738,1,C,19,TRUE,NA
MATa-deletion-384,rec509,1,C,20,TRUE,NA
MATa-deletion-384,rec739,1,C,21,TRUE,NA
MATa-deletion-384,rec510,1,C,22,TRUE,NA
MATa-deletion-384,rec741,1,C,23,TRUE,NA
MATa-deletion-384,rec511,1,C,24,TRUE,NA
MATa-deletion-384,rec1543,1,D,1,TRUE,NA
MATa-deletion-384,rec354,1,D,2,TRUE,NA
MATa-deletion-384,rec1544,1,D,3,TRUE,NA
MATa-deletion-384,rec355,1,D,4,TRUE,NA
MATa-deletion-384,rec1545,1,D,5,TRUE,NA
MATa-deletion-384,rec356,1,D,6,TRUE,NA
MATa-deletion-384,rec1546,1,D,7,TRUE,NA
MATa-deletion-384,rec357,1,D,8,TRUE,NA
MATa-deletion-384,rec1548,1,D,9,TRUE,NA
MATa-deletion-384,rec359,1,D,10,TRUE,NA
MATa-deletion-384,rec1549,1,D,11,TRUE,NA
MATa-deletion-384,rec360,1,D,12,TRUE,NA
MATa-deletion-384,rec1550,1,D,13,TRUE,NA
MATa-deletion-384,rec361,1,D,14,TRUE,NA
MATa-deletion-384,rec1551,1,D,15,TRUE,NA
MATa-deletion-384,rec363,1,D,16,TRUE,NA
MATa-deletion-384,rec1556,1,D,17,TRUE,NA
MATa-deletion-384,rec364,1,D,18,TRUE,NA
MATa-deletion-384,rec1558,1,D,19,TRUE,NA
MATa-deletion-384,rec366,1,D,20,TRUE,NA
MATa-deletion-384,rec1559,1,D,21,TRUE,NA
MATa-deletion-384,rec367,1,D,22,TRUE,NA
