strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,1,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,2,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,3,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,4,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,5,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,6,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,7,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,8,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,9,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,3,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,4,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,5,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,6,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,7,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,8,10,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,1,11,TRUE,
MATA-pWJ1781-96,rec2458 pWJ1781,1,2,11,TRUE,
