strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-ts-384-hb,TS-1A1,1,A,1,TRUE,NA
MATa-ts-384-hb,TS-1A2,1,A,2,TRUE,NA
MATa-ts-384-hb,TS-1A3,1,A,3,TRUE,NA
MATa-ts-384-hb,TS-1A4,1,A,4,TRUE,NA
MATa-ts-384-hb,TS-1A5,1,A,5,TRUE,NA
MATa-ts-384-hb,TS-1A6,1,A,6,TRUE,NA
MATa-ts-384-hb,TS-1A7,1,A,7,TRUE,NA
MATa-ts-384-hb,TS-1A8,1,A,8,TRUE,NA
MATa-ts-384-hb,TS-1A9,1,A,9,TRUE,NA
MATa-ts-384-hb,TS-1A10,1,A,10,TRUE,NA
MATa-ts-384-hb,TS-1A11,1,A,11,TRUE,NA
MATa-ts-384-hb,TS-1A12,1,A,12,TRUE,NA
MATa-ts-384-hb,TS-1A13,1,A,13,TRUE,NA
MATa-ts-384-hb,TS-1A14,1,A,14,TRUE,NA
MATa-ts-384-hb,TS-1A15,1,A,15,TRUE,NA
MATa-ts-384-hb,TS-1A16,1,A,16,TRUE,NA
MATa-ts-384-hb,TS-1A17,1,A,17,TRUE,NA
MATa-ts-384-hb,TS-1A18,1,A,18,TRUE,NA
MATa-ts-384-hb,TS-1A19,1,A,19,TRUE,NA
MATa-ts-384-hb,TS-1A20,1,A,20,TRUE,NA
MATa-ts-384-hb,TS-1A21,1,A,21,TRUE,NA
MATa-ts-384-hb,TS-1A22,1,A,22,TRUE,NA
MATa-ts-384-hb,TS-1A23,1,A,23,TRUE,NA
MATa-ts-384-hb,TS-1A24,1,A,24,TRUE,NA
MATa-ts-384-hb,TS-1B1,1,B,1,TRUE,NA
MATa-ts-384-hb,TS-1B2,1,B,2,TRUE,NA
MATa-ts-384-hb,TS-1B3,1,B,3,TRUE,NA
MATa-ts-384-hb,TS-1B4,1,B,4,TRUE,NA
MATa-ts-384-hb,TS-1B5,1,B,5,TRUE,NA
MATa-ts-384-hb,TS-1B6,1,B,6,TRUE,NA
MATa-ts-384-hb,TS-1B7,1,B,7,TRUE,NA
MATa-ts-384-hb,TS-1B8,1,B,8,TRUE,NA
MATa-ts-384-hb,TS-1B9,1,B,9,TRUE,NA
MATa-ts-384-hb,TS-1B10,1,B,10,TRUE,NA
MATa-ts-384-hb,TS-1B11,1,B,11,TRUE,NA
MATa-ts-384-hb,TS-1B12,1,B,12,TRUE,NA
MATa-ts-384-hb,TS-1B13,1,B,13,TRUE,NA
MATa-ts-384-hb,TS-1B14,1,B,14,TRUE,NA
MATa-ts-384-hb,TS-1B15,1,B,15,TRUE,NA
MATa-ts-384-hb,TS-1B16,1,B,16,TRUE,NA
MATa-ts-384-hb,TS-1B17,1,B,17,TRUE,NA
MATa-ts-384-hb,TS-1B18,1,B,18,TRUE,NA
MATa-ts-384-hb,TS-1B19,1,B,19,TRUE,NA
MATa-ts-384-hb,TS-1B20,1,B,20,TRUE,NA
MATa-ts-384-hb,TS-1B21,1,B,21,TRUE,NA
MATa-ts-384-hb,TS-1B22,1,B,22,TRUE,NA
MATa-ts-384-hb,TS-1B23,1,B,23,TRUE,NA
MATa-ts-384-hb,TS-1B24,1,B,24,TRUE,NA
MATa-ts-384-hb,TS-1C1,1,C,1,TRUE,NA
MATa-ts-384-hb,TS-1C2,1,C,2,TRUE,NA
MATa-ts-384-hb,TS-1C3,1,C,3,TRUE,NA
MATa-ts-384-hb,TS-1C4,1,C,4,TRUE,NA
MATa-ts-384-hb,TS-1C5,1,C,5,TRUE,NA
MATa-ts-384-hb,TS-1C6,1,C,6,TRUE,NA
MATa-ts-384-hb,TS-1C7,1,C,7,TRUE,NA
MATa-ts-384-hb,TS-1C8,1,C,8,TRUE,NA
MATa-ts-384-hb,TS-1C9,1,C,9,TRUE,NA
MATa-ts-384-hb,TS-1C10,1,C,10,TRUE,NA
MATa-ts-384-hb,TS-1C11,1,C,11,TRUE,NA
MATa-ts-384-hb,TS-1C12,1,C,12,TRUE,NA
MATa-ts-384-hb,TS-1C13,1,C,13,TRUE,NA
MATa-ts-384-hb,TS-1C14,1,C,14,TRUE,NA
MATa-ts-384-hb,TS-1C15,1,C,15,TRUE,NA
MATa-ts-384-hb,TS-1C16,1,C,16,TRUE,NA
MATa-ts-384-hb,TS-1C17,1,C,17,TRUE,NA
MATa-ts-384-hb,TS-1C18,1,C,18,TRUE,NA
MATa-ts-384-hb,TS-1C19,1,C,19,TRUE,NA
MATa-ts-384-hb,TS-1C20,1,C,20,TRUE,NA
MATa-ts-384-hb,TS-1C21,1,C,21,TRUE,NA
MATa-ts-384-hb,TS-1C22,1,C,22,TRUE,NA
MATa-ts-384-hb,TS-1C23,1,C,23,TRUE,NA
MATa-ts-384-hb,TS-1C24,1,C,24,TRUE,NA
MATa-ts-384-hb,TS-1D1,1,D,1,TRUE,NA
MATa-ts-384-hb,TS-1D2,1,D,2,TRUE,NA
MATa-ts-384-hb,TS-1D3,1,D,3,TRUE,NA
MATa-ts-384-hb,TS-1D4,1,D,4,TRUE,NA
MATa-ts-384-hb,TS-1D5,1,D,5,TRUE,NA
MATa-ts-384-hb,TS-1D6,1,D,6,TRUE,NA
MATa-ts-384-hb,TS-1D7,1,D,7,TRUE,NA
MATa-ts-384-hb,TS-1D8,1,D,8,TRUE,NA
MATa-ts-384-hb,TS-1D9,1,D,9,TRUE,NA
MATa-ts-384-hb,TS-1D10,1,D,10,TRUE,NA
MATa-ts-384-hb,TS-1D11,1,D,11,TRUE,NA
MATa-ts-384-hb,TS-1D12,1,D,12,TRUE,NA
MATa-ts-384-hb,TS-1D13,1,D,13,TRUE,NA
MATa-ts-384-hb,TS-1D14,1,D,14,TRUE,NA
MATa-ts-384-hb,TS-1D15,1,D,15,TRUE,NA
MATa-ts-384-hb,TS-1D16,1,D,16,TRUE,NA
MATa-ts-384-hb,TS-1D17,1,D,17,TRUE,NA
MATa-ts-384-hb,TS-1D18,1,D,18,TRUE,NA
MATa-ts-384-hb,TS-1D19,1,D,19,TRUE,NA
MATa-ts-384-hb,TS-1D20,1,D,20,TRUE,NA
MATa-ts-384-hb,TS-1D21,1,D,21,TRUE,NA
MATa-ts-384-hb,TS-1D22,1,D,22,TRUE,NA
MATa-ts-384-hb,TS-1D23,1,D,23,TRUE,NA
MATa-ts-384-hb,TS-1D24,1,D,24,TRUE,NA
MATa-ts-384-hb,TS-1E1,1,E,1,TRUE,NA
MATa-ts-384-hb,TS-1E2,1,E,2,TRUE,NA
MATa-ts-384-hb,TS-1E3,1,E,3,TRUE,NA
MATa-ts-384-hb,TS-1E4,1,E,4,TRUE,NA
MATa-ts-384-hb,TS-1E5,1,E,5,TRUE,NA
MATa-ts-384-hb,TS-1E6,1,E,6,TRUE,NA
MATa-ts-384-hb,TS-1E7,1,E,7,TRUE,NA
MATa-ts-384-hb,TS-1E8,1,E,8,TRUE,NA
MATa-ts-384-hb,TS-1E9,1,E,9,TRUE,NA
MATa-ts-384-hb,TS-1E10,1,E,10,TRUE,NA
MATa-ts-384-hb,TS-1E11,1,E,11,TRUE,NA
MATa-ts-384-hb,TS-1E12,1,E,12,TRUE,NA
MATa-ts-384-hb,TS-1E13,1,E,13,TRUE,NA
MATa-ts-384-hb,TS-1E14,1,E,14,TRUE,NA
MATa-ts-384-hb,TS-1E15,1,E,15,TRUE,NA
MATa-ts-384-hb,TS-1E16,1,E,16,TRUE,NA
MATa-ts-384-hb,TS-1E17,1,E,17,TRUE,NA
MATa-ts-384-hb,TS-1E18,1,E,18,TRUE,NA
MATa-ts-384-hb,TS-1E19,1,E,19,TRUE,NA
MATa-ts-384-hb,TS-1E20,1,E,20,TRUE,NA
MATa-ts-384-hb,TS-1E21,1,E,21,TRUE,NA
MATa-ts-384-hb,TS-1E22,1,E,22,TRUE,NA
MATa-ts-384-hb,TS-1E23,1,E,23,TRUE,NA
MATa-ts-384-hb,TS-1E24,1,E,24,TRUE,NA
MATa-ts-384-hb,TS-1F1,1,F,1,TRUE,NA
MATa-ts-384-hb,TS-1F2,1,F,2,TRUE,NA
MATa-ts-384-hb,TS-1F3,1,F,3,TRUE,NA
MATa-ts-384-hb,TS-1F4,1,F,4,TRUE,NA
MATa-ts-384-hb,TS-1F5,1,F,5,TRUE,NA
MATa-ts-384-hb,TS-1F6,1,F,6,TRUE,NA
MATa-ts-384-hb,TS-1F7,1,F,7,TRUE,NA
MATa-ts-384-hb,TS-1F8,1,F,8,TRUE,NA
MATa-ts-384-hb,TS-1F9,1,F,9,TRUE,NA
MATa-ts-384-hb,TS-1F10,1,F,10,TRUE,NA
MATa-ts-384-hb,TS-1F11,1,F,11,TRUE,NA
MATa-ts-384-hb,TS-1F12,1,F,12,TRUE,NA
MATa-ts-384-hb,TS-1F13,1,F,13,TRUE,NA
MATa-ts-384-hb,TS-1F14,1,F,14,TRUE,NA
MATa-ts-384-hb,TS-1F15,1,F,15,TRUE,NA
MATa-ts-384-hb,TS-1F16,1,F,16,TRUE,NA
MATa-ts-384-hb,TS-1F17,1,F,17,TRUE,NA
MATa-ts-384-hb,TS-1F18,1,F,18,TRUE,NA
MATa-ts-384-hb,TS-1F19,1,F,19,TRUE,NA
MATa-ts-384-hb,TS-1F20,1,F,20,TRUE,NA
MATa-ts-384-hb,TS-1F21,1,F,21,TRUE,NA
MATa-ts-384-hb,TS-1F22,1,F,22,TRUE,NA
MATa-ts-384-hb,TS-1F23,1,F,23,TRUE,NA
MATa-ts-384-hb,TS-1F24,1,F,24,TRUE,NA
MATa-ts-384-hb,TS-1G1,1,G,1,TRUE,NA
MATa-ts-384-hb,TS-1G2,1,G,2,TRUE,NA
MATa-ts-384-hb,TS-1G3,1,G,3,TRUE,NA
MATa-ts-384-hb,TS-1G4,1,G,4,TRUE,NA
MATa-ts-384-hb,TS-1G5,1,G,5,TRUE,NA
MATa-ts-384-hb,TS-1G6,1,G,6,TRUE,NA
MATa-ts-384-hb,TS-1G7,1,G,7,TRUE,NA
MATa-ts-384-hb,TS-1G8,1,G,8,TRUE,NA
MATa-ts-384-hb,TS-1G9,1,G,9,TRUE,NA
MATa-ts-384-hb,TS-1G10,1,G,10,TRUE,NA
MATa-ts-384-hb,TS-1G11,1,G,11,TRUE,NA
MATa-ts-384-hb,TS-1G12,1,G,12,TRUE,NA
MATa-ts-384-hb,TS-1G13,1,G,13,TRUE,NA
MATa-ts-384-hb,TS-1G14,1,G,14,TRUE,NA
MATa-ts-384-hb,TS-1G15,1,G,15,TRUE,NA
MATa-ts-384-hb,TS-1G16,1,G,16,TRUE,NA
MATa-ts-384-hb,TS-1G17,1,G,17,TRUE,NA
MATa-ts-384-hb,TS-1G18,1,G,18,TRUE,NA
MATa-ts-384-hb,TS-1G19,1,G,19,TRUE,NA
MATa-ts-384-hb,TS-1G20,1,G,20,TRUE,NA
MATa-ts-384-hb,TS-1G21,1,G,21,TRUE,NA
MATa-ts-384-hb,TS-1G22,1,G,22,TRUE,NA
MATa-ts-384-hb,TS-1G23,1,G,23,TRUE,NA
MATa-ts-384-hb,TS-1G24,1,G,24,TRUE,NA
MATa-ts-384-hb,TS-1H1,1,H,1,TRUE,NA
MATa-ts-384-hb,TS-1H2,1,H,2,TRUE,NA
MATa-ts-384-hb,TS-1H3,1,H,3,TRUE,NA
MATa-ts-384-hb,TS-1H4,1,H,4,TRUE,NA
MATa-ts-384-hb,TS-1H5,1,H,5,TRUE,NA
MATa-ts-384-hb,TS-1H6,1,H,6,TRUE,NA
MATa-ts-384-hb,TS-1H7,1,H,7,TRUE,NA
MATa-ts-384-hb,TS-1H8,1,H,8,TRUE,NA
MATa-ts-384-hb,TS-1H9,1,H,9,TRUE,NA
MATa-ts-384-hb,TS-1H10,1,H,10,TRUE,NA
MATa-ts-384-hb,TS-1H11,1,H,11,TRUE,NA
MATa-ts-384-hb,TS-1H12,1,H,12,TRUE,NA
MATa-ts-384-hb,TS-1H13,1,H,13,TRUE,NA
MATa-ts-384-hb,TS-1H14,1,H,14,TRUE,NA
MATa-ts-384-hb,TS-1H15,1,H,15,TRUE,NA
MATa-ts-384-hb,TS-1H16,1,H,16,TRUE,NA
MATa-ts-384-hb,TS-1H17,1,H,17,TRUE,NA
MATa-ts-384-hb,TS-1H18,1,H,18,TRUE,NA
MATa-ts-384-hb,TS-1H19,1,H,19,TRUE,NA
MATa-ts-384-hb,TS-1H20,1,H,20,TRUE,NA
MATa-ts-384-hb,TS-1H21,1,H,21,TRUE,NA
MATa-ts-384-hb,TS-1H22,1,H,22,TRUE,NA
MATa-ts-384-hb,TS-1H23,1,H,23,TRUE,NA
MATa-ts-384-hb,TS-1H24,1,H,24,TRUE,NA
MATa-ts-384-hb,TS-1I1,1,I,1,TRUE,NA
MATa-ts-384-hb,TS-1I2,1,I,2,TRUE,NA
MATa-ts-384-hb,TS-1I3,1,I,3,TRUE,NA
MATa-ts-384-hb,TS-1I4,1,I,4,TRUE,NA
MATa-ts-384-hb,TS-1I5,1,I,5,TRUE,NA
MATa-ts-384-hb,TS-1I6,1,I,6,TRUE,NA
MATa-ts-384-hb,TS-1I7,1,I,7,TRUE,NA
MATa-ts-384-hb,TS-1I8,1,I,8,TRUE,NA
MATa-ts-384-hb,TS-1I9,1,I,9,TRUE,NA
MATa-ts-384-hb,TS-1I10,1,I,10,TRUE,NA
MATa-ts-384-hb,TS-1I11,1,I,11,TRUE,NA
MATa-ts-384-hb,TS-1I12,1,I,12,TRUE,NA
MATa-ts-384-hb,TS-1I13,1,I,13,TRUE,NA
MATa-ts-384-hb,TS-1I14,1,I,14,TRUE,NA
MATa-ts-384-hb,TS-1I15,1,I,15,TRUE,NA
MATa-ts-384-hb,TS-1I16,1,I,16,TRUE,NA
MATa-ts-384-hb,TS-1I17,1,I,17,TRUE,NA
MATa-ts-384-hb,TS-1I18,1,I,18,TRUE,NA
MATa-ts-384-hb,TS-1I19,1,I,19,TRUE,NA
MATa-ts-384-hb,TS-1I20,1,I,20,TRUE,NA
MATa-ts-384-hb,TS-1I21,1,I,21,TRUE,NA
MATa-ts-384-hb,TS-1I22,1,I,22,TRUE,NA
MATa-ts-384-hb,TS-1I23,1,I,23,TRUE,NA
MATa-ts-384-hb,TS-1I24,1,I,24,TRUE,NA
MATa-ts-384-hb,TS-1J1,1,J,1,TRUE,NA
MATa-ts-384-hb,TS-1J2,1,J,2,TRUE,NA
MATa-ts-384-hb,TS-1J3,1,J,3,TRUE,NA
MATa-ts-384-hb,TS-1J4,1,J,4,TRUE,NA
MATa-ts-384-hb,TS-1J5,1,J,5,TRUE,NA
MATa-ts-384-hb,TS-1J6,1,J,6,TRUE,NA
MATa-ts-384-hb,TS-1J7,1,J,7,TRUE,NA
MATa-ts-384-hb,TS-1J8,1,J,8,TRUE,NA
MATa-ts-384-hb,TS-1J9,1,J,9,TRUE,NA
MATa-ts-384-hb,TS-1J10,1,J,10,TRUE,NA
MATa-ts-384-hb,TS-1J11,1,J,11,TRUE,NA
MATa-ts-384-hb,TS-1J12,1,J,12,TRUE,NA
MATa-ts-384-hb,TS-1J13,1,J,13,TRUE,NA
MATa-ts-384-hb,TS-1J14,1,J,14,TRUE,NA
MATa-ts-384-hb,TS-1J15,1,J,15,TRUE,NA
MATa-ts-384-hb,TS-1J16,1,J,16,TRUE,NA
MATa-ts-384-hb,TS-1J17,1,J,17,TRUE,NA
MATa-ts-384-hb,TS-1J18,1,J,18,TRUE,NA
MATa-ts-384-hb,TS-1J19,1,J,19,TRUE,NA
MATa-ts-384-hb,TS-1J20,1,J,20,TRUE,NA
MATa-ts-384-hb,TS-1J21,1,J,21,TRUE,NA
MATa-ts-384-hb,TS-1J22,1,J,22,TRUE,NA
MATa-ts-384-hb,TS-1J23,1,J,23,TRUE,NA
MATa-ts-384-hb,TS-1J24,1,J,24,TRUE,NA
MATa-ts-384-hb,TS-1K1,1,K,1,TRUE,NA
MATa-ts-384-hb,TS-1K2,1,K,2,TRUE,NA
MATa-ts-384-hb,TS-1K3,1,K,3,TRUE,NA
MATa-ts-384-hb,TS-1K4,1,K,4,TRUE,NA
MATa-ts-384-hb,TS-1K5,1,K,5,TRUE,NA
MATa-ts-384-hb,TS-1K6,1,K,6,TRUE,NA
MATa-ts-384-hb,TS-1K7,1,K,7,TRUE,NA
MATa-ts-384-hb,TS-1K8,1,K,8,TRUE,NA
MATa-ts-384-hb,TS-1K9,1,K,9,TRUE,NA
MATa-ts-384-hb,TS-1K10,1,K,10,TRUE,NA
MATa-ts-384-hb,TS-1K11,1,K,11,TRUE,NA
MATa-ts-384-hb,TS-1K12,1,K,12,TRUE,NA
MATa-ts-384-hb,TS-1K13,1,K,13,TRUE,NA
MATa-ts-384-hb,TS-1K14,1,K,14,TRUE,NA
MATa-ts-384-hb,TS-1K15,1,K,15,TRUE,NA
MATa-ts-384-hb,TS-1K16,1,K,16,TRUE,NA
MATa-ts-384-hb,TS-1K17,1,K,17,TRUE,NA
MATa-ts-384-hb,TS-1K18,1,K,18,TRUE,NA
MATa-ts-384-hb,TS-1K19,1,K,19,TRUE,NA
MATa-ts-384-hb,TS-1K20,1,K,20,TRUE,NA
MATa-ts-384-hb,TS-1K21,1,K,21,TRUE,NA
MATa-ts-384-hb,TS-1K22,1,K,22,TRUE,NA
MATa-ts-384-hb,TS-1K23,1,K,23,TRUE,NA
MATa-ts-384-hb,TS-1K24,1,K,24,TRUE,NA
MATa-ts-384-hb,TS-1L1,1,L,1,TRUE,NA
MATa-ts-384-hb,TS-1L2,1,L,2,TRUE,NA
MATa-ts-384-hb,TS-1L3,1,L,3,TRUE,NA
MATa-ts-384-hb,TS-1L4,1,L,4,TRUE,NA
MATa-ts-384-hb,TS-1L5,1,L,5,TRUE,NA
MATa-ts-384-hb,TS-1L6,1,L,6,TRUE,NA
MATa-ts-384-hb,TS-1L7,1,L,7,TRUE,NA
MATa-ts-384-hb,TS-1L8,1,L,8,TRUE,NA
MATa-ts-384-hb,TS-1L9,1,L,9,TRUE,NA
MATa-ts-384-hb,TS-1L10,1,L,10,TRUE,NA
MATa-ts-384-hb,TS-1L11,1,L,11,TRUE,NA
MATa-ts-384-hb,TS-1L12,1,L,12,TRUE,NA
MATa-ts-384-hb,TS-1L13,1,L,13,TRUE,NA
MATa-ts-384-hb,TS-1L14,1,L,14,TRUE,NA
MATa-ts-384-hb,TS-1L15,1,L,15,TRUE,NA
MATa-ts-384-hb,TS-1L16,1,L,16,TRUE,NA
MATa-ts-384-hb,TS-1L17,1,L,17,TRUE,NA
MATa-ts-384-hb,TS-1L18,1,L,18,TRUE,NA
MATa-ts-384-hb,TS-1L19,1,L,19,TRUE,NA
MATa-ts-384-hb,TS-1L20,1,L,20,TRUE,NA
MATa-ts-384-hb,TS-1L21,1,L,21,TRUE,NA
MATa-ts-384-hb,TS-1L22,1,L,22,TRUE,NA
MATa-ts-384-hb,TS-1L23,1,L,23,TRUE,NA
MATa-ts-384-hb,TS-1L24,1,L,24,TRUE,NA
MATa-ts-384-hb,TS-1M1,1,M,1,TRUE,NA
MATa-ts-384-hb,TS-1M2,1,M,2,TRUE,NA
MATa-ts-384-hb,TS-1M3,1,M,3,TRUE,NA
MATa-ts-384-hb,TS-1M4,1,M,4,TRUE,NA
MATa-ts-384-hb,TS-1M5,1,M,5,TRUE,NA
MATa-ts-384-hb,TS-1M6,1,M,6,TRUE,NA
MATa-ts-384-hb,TS-1M7,1,M,7,TRUE,NA
MATa-ts-384-hb,TS-1M8,1,M,8,TRUE,NA
MATa-ts-384-hb,TS-1M9,1,M,9,TRUE,NA
MATa-ts-384-hb,TS-1M10,1,M,10,TRUE,NA
MATa-ts-384-hb,TS-1M11,1,M,11,TRUE,NA
MATa-ts-384-hb,TS-1M12,1,M,12,TRUE,NA
MATa-ts-384-hb,TS-1M13,1,M,13,TRUE,NA
MATa-ts-384-hb,TS-1M14,1,M,14,TRUE,NA
MATa-ts-384-hb,TS-1M15,1,M,15,TRUE,NA
MATa-ts-384-hb,TS-1M16,1,M,16,TRUE,NA
MATa-ts-384-hb,TS-1M17,1,M,17,TRUE,NA
MATa-ts-384-hb,TS-1M18,1,M,18,TRUE,NA
MATa-ts-384-hb,TS-1M19,1,M,19,TRUE,NA
MATa-ts-384-hb,TS-1M20,1,M,20,TRUE,NA
MATa-ts-384-hb,TS-1M21,1,M,21,TRUE,NA
MATa-ts-384-hb,TS-1M22,1,M,22,TRUE,NA
MATa-ts-384-hb,TS-1M23,1,M,23,TRUE,NA
MATa-ts-384-hb,TS-1M24,1,M,24,TRUE,NA
MATa-ts-384-hb,TS-1N1,1,N,1,TRUE,NA
MATa-ts-384-hb,TS-1N2,1,N,2,TRUE,NA
MATa-ts-384-hb,TS-1N3,1,N,3,TRUE,NA
MATa-ts-384-hb,TS-1N4,1,N,4,TRUE,NA
MATa-ts-384-hb,TS-1N5,1,N,5,TRUE,NA
MATa-ts-384-hb,TS-1N6,1,N,6,TRUE,NA
MATa-ts-384-hb,TS-1N7,1,N,7,TRUE,NA
MATa-ts-384-hb,TS-1N8,1,N,8,TRUE,NA
MATa-ts-384-hb,TS-1N9,1,N,9,TRUE,NA
MATa-ts-384-hb,TS-1N10,1,N,10,TRUE,NA
MATa-ts-384-hb,TS-1N11,1,N,11,TRUE,NA
MATa-ts-384-hb,TS-1N12,1,N,12,TRUE,NA
MATa-ts-384-hb,TS-1N13,1,N,13,TRUE,NA
MATa-ts-384-hb,TS-1N14,1,N,14,TRUE,NA
MATa-ts-384-hb,TS-1N15,1,N,15,TRUE,NA
MATa-ts-384-hb,TS-1N16,1,N,16,TRUE,NA
MATa-ts-384-hb,TS-1N17,1,N,17,TRUE,NA
MATa-ts-384-hb,TS-1N18,1,N,18,TRUE,NA
MATa-ts-384-hb,TS-1N19,1,N,19,TRUE,NA
MATa-ts-384-hb,TS-1N20,1,N,20,TRUE,NA
MATa-ts-384-hb,TS-1N21,1,N,21,TRUE,NA
MATa-ts-384-hb,TS-1N22,1,N,22,TRUE,NA
MATa-ts-384-hb,TS-1N23,1,N,23,TRUE,NA
MATa-ts-384-hb,TS-1N24,1,N,24,TRUE,NA
MATa-ts-384-hb,TS-1O1,1,O,1,TRUE,NA
MATa-ts-384-hb,TS-1O2,1,O,2,TRUE,NA
MATa-ts-384-hb,TS-1O3,1,O,3,TRUE,NA
MATa-ts-384-hb,TS-1O4,1,O,4,TRUE,NA
MATa-ts-384-hb,TS-1O5,1,O,5,TRUE,NA
MATa-ts-384-hb,TS-1O6,1,O,6,TRUE,NA
MATa-ts-384-hb,TS-1O7,1,O,7,TRUE,NA
MATa-ts-384-hb,TS-1O8,1,O,8,TRUE,NA
MATa-ts-384-hb,TS-1O9,1,O,9,TRUE,NA
MATa-ts-384-hb,TS-1O10,1,O,10,TRUE,NA
MATa-ts-384-hb,TS-1O11,1,O,11,TRUE,NA
MATa-ts-384-hb,TS-1O12,1,O,12,TRUE,NA
MATa-ts-384-hb,TS-1O13,1,O,13,TRUE,NA
MATa-ts-384-hb,TS-1O14,1,O,14,TRUE,NA
MATa-ts-384-hb,TS-1O15,1,O,15,TRUE,NA
MATa-ts-384-hb,TS-1O16,1,O,16,TRUE,NA
MATa-ts-384-hb,TS-1O17,1,O,17,TRUE,NA
MATa-ts-384-hb,TS-1O18,1,O,18,TRUE,NA
MATa-ts-384-hb,TS-1O19,1,O,19,TRUE,NA
MATa-ts-384-hb,TS-1O20,1,O,20,TRUE,NA
MATa-ts-384-hb,TS-1O21,1,O,21,TRUE,NA
MATa-ts-384-hb,TS-1O22,1,O,22,TRUE,NA
MATa-ts-384-hb,TS-1O23,1,O,23,TRUE,NA
MATa-ts-384-hb,TS-1O24,1,O,24,TRUE,NA
