strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,1,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,2,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,3,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,4,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,5,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,6,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,7,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,8,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,9,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,10,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,11,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,1,12,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,2,1,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,2,2,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec10764,1,2,3,FALSE,spt21-S000004791-1-C-19
"MATalpha-CTF4,RAD5-96-hb",rec10366,1,2,4,FALSE,cln3-S000000038-1-D-20
"MATalpha-CTF4,RAD5-96-hb",rec10540,1,2,5,FALSE,rad52-S000004494-1-E-8
"MATalpha-CTF4,RAD5-96-hb",rec10545,1,2,6,FALSE,tsa1-S000004490-1-E-14
"MATalpha-CTF4,RAD5-96-hb",rec10775,1,2,7,FALSE,sgs1-S000004802-1-E-15
"MATalpha-CTF4,RAD5-96-hb",rec10377,1,2,8,FALSE,gip4-S000000029-1-F-6
"MATalpha-CTF4,RAD5-96-hb",rec10385,1,2,9,FALSE,pmt2-S000000021-1-F-16
"MATalpha-CTF4,RAD5-96-hb",rec10556,1,2,10,FALSE,psp2-S000004479-1-G-2
"MATalpha-CTF4,RAD5-96-hb",rec10810,1,2,11,FALSE,mre11-S000004837-1-I-11
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,2,12,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,3,1,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec10407,1,3,2,FALSE,nup60-S000000063-1-J-4
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,3,3,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec11490,1,3,4,FALSE,rtt109-S000003925-1-L-20
"MATalpha-CTF4,RAD5-96-hb",rec10512,1,3,5,FALSE,sml1-S000004523-1-O-6
"MATalpha-CTF4,RAD5-96-hb",rec10870,1,3,6,FALSE,yku70-S000004897-1-O-21
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,3,7,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec11801,1,3,8,FALSE,hst3-S000005551-2-B-13
"MATalpha-CTF4,RAD5-96-hb",rec11809,1,3,9,FALSE,exo1-S000005559-2-D-5
"MATalpha-CTF4,RAD5-96-hb",rec11108,1,3,10,FALSE,cos1-S000005280-2-D-18
"MATalpha-CTF4,RAD5-96-hb",rec11665,1,3,11,FALSE,rad17-S000005895-2-E-8
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,3,12,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,4,1,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec11051,1,4,2,FALSE,cin2-S000006162-2-G-7
"MATalpha-CTF4,RAD5-96-hb",rec11697,1,4,3,FALSE,top1-S000005366-2-G-18
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,4,4,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec11849,1,4,5,FALSE,sgo1-S000005599-2-H-23
"MATalpha-CTF4,RAD5-96-hb",rec11703,1,4,6,FALSE,htz1-S000005372-2-I-2
"MATalpha-CTF4,RAD5-96-hb",rec11080,1,4,7,FALSE,pus1-S000006133-2-I-21
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,4,8,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec11856,1,4,9,FALSE,dia2-S000005606-2-J-7
"MATalpha-CTF4,RAD5-96-hb",rec11153,1,4,10,FALSE,mid1-S000005235-2-J-12
"MATalpha-CTF4,RAD5-96-hb",rec11171,1,4,11,FALSE,tof1-S000005217-2-L-8
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,4,12,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,5,1,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec15534,1,5,2,FALSE,clb2-S000006323-6-C-7
"MATalpha-CTF4,RAD5-96-hb",rec14186,1,5,3,FALSE,yps7-S000002757-3-C-12
"MATalpha-CTF4,RAD5-96-hb",rec13382,1,5,4,FALSE,ybr242w-S000000446-3-D-9
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,5,5,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-96-hb",rec14200,1,5,6,FALSE,esc2-S000002771-3-E-4
"MATalpha-CTF4,RAD5-96-hb",rec14205,1,5,7,FALSE,xrs2-S000002777-3-E-10
"MATalpha-CTF4,RAD5-96-hb",rec10303,1,5,8,FALSE,cin8-S000000787-3-E-11
"MATalpha-CTF4,RAD5-96-hb",rec12458,1,5,9,TRUE,POSITIVE CONTROL
