strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATalpha-deletion-384-hb,rec12458,1,1,1,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,2,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,3,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,4,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,5,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,6,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,7,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,8,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,9,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,10,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,11,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,12,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,13,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,14,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,15,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,16,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,17,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,18,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,19,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,20,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,21,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,22,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,23,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,1,24,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,2,1,TRUE,NA
MATalpha-deletion-384-hb,rec11534,1,2,2,TRUE,NA
MATalpha-deletion-384-hb,rec12730,1,2,3,TRUE,NA
MATalpha-deletion-384-hb,rec10338,1,2,4,TRUE,NA
MATalpha-deletion-384-hb,rec11539,1,2,5,TRUE,NA
MATalpha-deletion-384-hb,rec10339,1,2,6,TRUE,NA
MATalpha-deletion-384-hb,rec11540,1,2,7,TRUE,NA
MATalpha-deletion-384-hb,rec10340,1,2,8,TRUE,NA
MATalpha-deletion-384-hb,rec11541,1,2,9,TRUE,NA
MATalpha-deletion-384-hb,rec10341,1,2,10,TRUE,NA
MATalpha-deletion-384-hb,rec11542,1,2,11,TRUE,NA
MATalpha-deletion-384-hb,rec10345,1,2,12,TRUE,NA
MATalpha-deletion-384-hb,rec11543,1,2,13,TRUE,NA
MATalpha-deletion-384-hb,rec10346,1,2,14,TRUE,NA
MATalpha-deletion-384-hb,rec11544,1,2,15,TRUE,NA
MATalpha-deletion-384-hb,rec10347,1,2,16,TRUE,NA
MATalpha-deletion-384-hb,rec11545,1,2,17,TRUE,NA
MATalpha-deletion-384-hb,rec10348,1,2,18,TRUE,NA
MATalpha-deletion-384-hb,rec11546,1,2,19,TRUE,NA
MATalpha-deletion-384-hb,rec10349,1,2,20,TRUE,NA
MATalpha-deletion-384-hb,rec11548,1,2,21,TRUE,NA
MATalpha-deletion-384-hb,rec10351,1,2,22,TRUE,NA
MATalpha-deletion-384-hb,rec11549,1,2,23,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,2,24,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,3,1,TRUE,NA
MATalpha-deletion-384-hb,rec10513,1,3,2,TRUE,NA
MATalpha-deletion-384-hb,rec10753,1,3,3,TRUE,NA
MATalpha-deletion-384-hb,rec10514,1,3,4,TRUE,NA
MATalpha-deletion-384-hb,rec10756,1,3,5,TRUE,NA
MATalpha-deletion-384-hb,rec10515,1,3,6,TRUE,NA
MATalpha-deletion-384-hb,rec10758,1,3,7,TRUE,NA
MATalpha-deletion-384-hb,rec10516,1,3,8,TRUE,NA
MATalpha-deletion-384-hb,rec10759,1,3,9,TRUE,NA
MATalpha-deletion-384-hb,rec10517,1,3,10,TRUE,NA
MATalpha-deletion-384-hb,rec10760,1,3,11,TRUE,NA
MATalpha-deletion-384-hb,rec10518,1,3,12,TRUE,NA
MATalpha-deletion-384-hb,rec10761,1,3,13,TRUE,NA
MATalpha-deletion-384-hb,rec10519,1,3,14,TRUE,NA
MATalpha-deletion-384-hb,rec10762,1,3,15,TRUE,NA
MATalpha-deletion-384-hb,rec10520,1,3,16,TRUE,NA
MATalpha-deletion-384-hb,rec10763,1,3,17,TRUE,NA
MATalpha-deletion-384-hb,rec10521,1,3,18,TRUE,NA
MATalpha-deletion-384-hb,rec10764,1,3,19,TRUE,NA
MATalpha-deletion-384-hb,rec10523,1,3,20,TRUE,NA
MATalpha-deletion-384-hb,rec10765,1,3,21,TRUE,NA
MATalpha-deletion-384-hb,rec10524,1,3,22,TRUE,NA
MATalpha-deletion-384-hb,rec10767,1,3,23,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,3,24,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,4,1,TRUE,NA
MATalpha-deletion-384-hb,rec10354,1,4,2,TRUE,NA
MATalpha-deletion-384-hb,rec11551,1,4,3,TRUE,NA
MATalpha-deletion-384-hb,rec10355,1,4,4,TRUE,NA
MATalpha-deletion-384-hb,rec11556,1,4,5,TRUE,NA
MATalpha-deletion-384-hb,rec10356,1,4,6,TRUE,NA
MATalpha-deletion-384-hb,rec11558,1,4,7,TRUE,NA
MATalpha-deletion-384-hb,rec10357,1,4,8,TRUE,NA
MATalpha-deletion-384-hb,rec11559,1,4,9,TRUE,NA
MATalpha-deletion-384-hb,rec10359,1,4,10,TRUE,NA
MATalpha-deletion-384-hb,rec11566,1,4,11,TRUE,NA
MATalpha-deletion-384-hb,rec10360,1,4,12,TRUE,NA
MATalpha-deletion-384-hb,rec11567,1,4,13,TRUE,NA
MATalpha-deletion-384-hb,rec10361,1,4,14,TRUE,NA
MATalpha-deletion-384-hb,rec11568,1,4,15,TRUE,NA
MATalpha-deletion-384-hb,rec10363,1,4,16,TRUE,NA
MATalpha-deletion-384-hb,rec11569,1,4,17,TRUE,NA
MATalpha-deletion-384-hb,rec10364,1,4,18,TRUE,NA
MATalpha-deletion-384-hb,rec11570,1,4,19,TRUE,NA
MATalpha-deletion-384-hb,rec10366,1,4,20,TRUE,NA
MATalpha-deletion-384-hb,rec11571,1,4,21,TRUE,NA
MATalpha-deletion-384-hb,rec10369,1,4,22,TRUE,NA
MATalpha-deletion-384-hb,rec11572,1,4,23,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,4,24,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,5,1,TRUE,NA
MATalpha-deletion-384-hb,rec10537,1,5,2,TRUE,NA
MATalpha-deletion-384-hb,rec10769,1,5,3,TRUE,NA
MATalpha-deletion-384-hb,rec10538,1,5,4,TRUE,NA
MATalpha-deletion-384-hb,rec10770,1,5,5,TRUE,NA
MATalpha-deletion-384-hb,rec10539,1,5,6,TRUE,NA
MATalpha-deletion-384-hb,rec10771,1,5,7,TRUE,NA
MATalpha-deletion-384-hb,rec10540,1,5,8,TRUE,NA
MATalpha-deletion-384-hb,rec10772,1,5,9,TRUE,NA
MATalpha-deletion-384-hb,rec10543,1,5,10,TRUE,NA
MATalpha-deletion-384-hb,rec10773,1,5,11,TRUE,NA
MATalpha-deletion-384-hb,rec10544,1,5,12,TRUE,NA
MATalpha-deletion-384-hb,rec10774,1,5,13,TRUE,NA
MATalpha-deletion-384-hb,rec10545,1,5,14,TRUE,NA
MATalpha-deletion-384-hb,rec10775,1,5,15,TRUE,sgs1 MATa behaves differently than MATalpha to RAD5 overexpression. MATa version behaves like W303 sgs1.
MATalpha-deletion-384-hb,rec10547,1,5,16,TRUE,NA
MATalpha-deletion-384-hb,rec10777,1,5,17,TRUE,NA
MATalpha-deletion-384-hb,rec10549,1,5,18,TRUE,NA
MATalpha-deletion-384-hb,rec10779,1,5,19,TRUE,NA
MATalpha-deletion-384-hb,rec10553,1,5,20,TRUE,NA
MATalpha-deletion-384-hb,rec10780,1,5,21,TRUE,NA
MATalpha-deletion-384-hb,rec10554,1,5,22,TRUE,NA
MATalpha-deletion-384-hb,rec10781,1,5,23,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,5,24,TRUE,NA
MATalpha-deletion-384-hb,rec12458,1,6,1,TRUE,NA
MATalpha-deletion-384-hb,rec10371,1,6,2,TRUE,NA
MATalpha-deletion-384-hb,rec11574,1,6,3,TRUE,NA
MATalpha-deletion-384-hb,rec10374,1,6,4,TRUE,NA
MATalpha-deletion-384-hb,rec11575,1,6,5,TRUE,NA
MATalpha-deletion-384-hb,rec10377,1,6,6,TRUE,NA
MATalpha-deletion-384-hb,rec11576,1,6,7,TRUE,NA
MATalpha-deletion-384-hb,rec10378,1,6,8,TRUE,NA
MATalpha-deletion-384-hb,rec11578,1,6,9,TRUE,NA
MATalpha-deletion-384-hb,rec10379,1,6,10,TRUE,NA
MATalpha-deletion-384-hb,rec11579,1,6,11,TRUE,NA
MATalpha-deletion-384-hb,rec10380,1,6,12,TRUE,NA
