strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATalpha-deletion-96,rec10338,1,1,2,TRUE,NA
MATalpha-deletion-96,rec10339,1,1,3,TRUE,NA
MATalpha-deletion-96,rec10340,1,1,4,TRUE,NA
MATalpha-deletion-96,rec10341,1,1,5,TRUE,NA
MATalpha-deletion-96,rec10345,1,1,6,TRUE,NA
MATalpha-deletion-96,rec10346,1,1,7,TRUE,NA
MATalpha-deletion-96,rec10347,1,1,8,TRUE,NA
MATalpha-deletion-96,rec10348,1,1,9,TRUE,NA
MATalpha-deletion-96,rec10349,1,1,10,TRUE,NA
MATalpha-deletion-96,rec10351,1,1,11,TRUE,NA
MATalpha-deletion-96,rec10352,1,1,12,TRUE,NA
MATalpha-deletion-96,rec10354,1,2,1,TRUE,NA
MATalpha-deletion-96,rec10355,1,2,2,TRUE,NA
MATalpha-deletion-96,rec10356,1,2,3,TRUE,NA
MATalpha-deletion-96,rec10357,1,2,4,TRUE,NA
MATalpha-deletion-96,rec10359,1,2,5,TRUE,NA
MATalpha-deletion-96,rec10360,1,2,6,TRUE,NA
MATalpha-deletion-96,rec10361,1,2,7,TRUE,NA
MATalpha-deletion-96,rec10363,1,2,8,TRUE,NA
MATalpha-deletion-96,rec10364,1,2,9,TRUE,NA
MATalpha-deletion-96,rec10366,1,2,10,TRUE,NA
MATalpha-deletion-96,rec10369,1,2,11,TRUE,NA
MATalpha-deletion-96,rec10370,1,2,12,TRUE,NA
MATalpha-deletion-96,rec10371,1,3,1,TRUE,NA
MATalpha-deletion-96,rec10374,1,3,2,TRUE,NA
MATalpha-deletion-96,rec10377,1,3,3,TRUE,NA
MATalpha-deletion-96,rec10378,1,3,4,TRUE,NA
MATalpha-deletion-96,rec10379,1,3,5,TRUE,NA
MATalpha-deletion-96,rec10380,1,3,6,TRUE,NA
MATalpha-deletion-96,rec10382,1,3,7,TRUE,NA
MATalpha-deletion-96,rec10385,1,3,8,TRUE,NA
MATalpha-deletion-96,rec10386,1,3,9,TRUE,NA
MATalpha-deletion-96,rec10387,1,3,10,TRUE,NA
MATalpha-deletion-96,rec10388,1,3,11,TRUE,NA
MATalpha-deletion-96,rec10389,1,3,12,TRUE,NA
MATalpha-deletion-96,rec10390,1,4,1,TRUE,NA
MATalpha-deletion-96,rec10391,1,4,2,TRUE,NA
MATalpha-deletion-96,rec10393,1,4,3,TRUE,NA
MATalpha-deletion-96,rec10394,1,4,4,TRUE,NA
MATalpha-deletion-96,rec10395,1,4,5,TRUE,NA
MATalpha-deletion-96,rec10397,1,4,6,TRUE,NA
MATalpha-deletion-96,rec10398,1,4,7,TRUE,NA
MATalpha-deletion-96,rec10399,1,4,8,TRUE,NA
MATalpha-deletion-96,rec10400,1,4,9,TRUE,NA
MATalpha-deletion-96,rec10401,1,4,10,TRUE,NA
MATalpha-deletion-96,rec10402,1,4,11,TRUE,NA
MATalpha-deletion-96,rec10403,1,4,12,TRUE,NA
MATalpha-deletion-96,rec10405,1,5,1,TRUE,NA
MATalpha-deletion-96,rec10407,1,5,2,TRUE,NA
MATalpha-deletion-96,rec10408,1,5,3,TRUE,NA
MATalpha-deletion-96,rec10413,1,5,4,TRUE,NA
MATalpha-deletion-96,rec10414,1,5,5,TRUE,NA
MATalpha-deletion-96,rec10415,1,5,6,TRUE,NA
MATalpha-deletion-96,rec10417,1,5,7,TRUE,NA
MATalpha-deletion-96,rec10418,1,5,8,TRUE,NA
MATalpha-deletion-96,rec10419,1,5,9,TRUE,NA
MATalpha-deletion-96,rec10420,1,5,10,TRUE,NA
MATalpha-deletion-96,rec10421,1,5,11,TRUE,NA
MATalpha-deletion-96,rec10422,1,5,12,TRUE,NA
MATalpha-deletion-96,rec10423,1,6,1,TRUE,NA
MATalpha-deletion-96,rec10425,1,6,2,TRUE,NA
MATalpha-deletion-96,rec10426,1,6,3,TRUE,NA
MATalpha-deletion-96,rec10427,1,6,4,TRUE,NA
MATalpha-deletion-96,rec10428,1,6,5,TRUE,NA
MATalpha-deletion-96,rec10429,1,6,6,TRUE,NA
MATalpha-deletion-96,rec10430,1,6,7,TRUE,NA
MATalpha-deletion-96,rec10431,1,6,8,TRUE,NA
MATalpha-deletion-96,rec11489,1,6,9,TRUE,NA
MATalpha-deletion-96,rec11490,1,6,10,TRUE,NA
MATalpha-deletion-96,rec11493,1,6,11,TRUE,NA
MATalpha-deletion-96,rec11498,1,6,12,TRUE,NA
MATalpha-deletion-96,rec11500,1,7,1,TRUE,NA
MATalpha-deletion-96,rec11501,1,7,2,TRUE,NA
MATalpha-deletion-96,rec11502,1,7,3,TRUE,NA
MATalpha-deletion-96,rec11503,1,7,4,TRUE,NA
MATalpha-deletion-96,rec11504,1,7,5,TRUE,NA
MATalpha-deletion-96,rec11505,1,7,6,TRUE,NA
MATalpha-deletion-96,rec11507,1,7,7,TRUE,NA
MATalpha-deletion-96,rec11508,1,7,8,TRUE,NA
MATalpha-deletion-96,rec11509,1,7,9,TRUE,NA
MATalpha-deletion-96,rec11511,1,7,10,TRUE,NA
MATalpha-deletion-96,rec11512,1,7,11,TRUE,NA
MATalpha-deletion-96,rec11513,1,7,12,TRUE,NA
MATalpha-deletion-96,rec11514,1,8,1,TRUE,NA
MATalpha-deletion-96,rec11516,1,8,2,TRUE,NA
MATalpha-deletion-96,rec11517,1,8,4,TRUE,NA
MATalpha-deletion-96,rec11520,1,8,5,TRUE,NA
MATalpha-deletion-96,rec11526,1,8,6,TRUE,NA
MATalpha-deletion-96,rec11527,1,8,7,TRUE,NA
MATalpha-deletion-96,rec11528,1,8,8,TRUE,NA
MATalpha-deletion-96,rec11529,1,8,9,TRUE,NA
MATalpha-deletion-96,rec11531,1,8,10,TRUE,NA
MATalpha-deletion-96,rec11533,1,8,11,TRUE,NA
MATalpha-deletion-96,rec11534,1,8,12,TRUE,NA
MATalpha-deletion-96,rec11535,2,1,1,TRUE,NA
MATalpha-deletion-96,rec11539,2,1,3,TRUE,NA
MATalpha-deletion-96,rec11540,2,1,4,TRUE,NA
MATalpha-deletion-96,rec11541,2,1,5,TRUE,NA
MATalpha-deletion-96,rec11542,2,1,6,TRUE,NA
MATalpha-deletion-96,rec11543,2,1,7,TRUE,NA
MATalpha-deletion-96,rec11544,2,1,8,TRUE,NA
MATalpha-deletion-96,rec11545,2,1,9,TRUE,NA
MATalpha-deletion-96,rec11546,2,1,10,TRUE,NA
MATalpha-deletion-96,rec11548,2,1,11,TRUE,NA
MATalpha-deletion-96,rec11549,2,1,12,TRUE,NA
MATalpha-deletion-96,rec11550,2,2,1,TRUE,NA
MATalpha-deletion-96,rec11551,2,2,2,TRUE,NA
MATalpha-deletion-96,rec11556,2,2,3,TRUE,NA
MATalpha-deletion-96,rec11558,2,2,4,TRUE,NA
