strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
cispt-sensitive-1,rec2458,1,A,1,TRUE,YOR202W; HIS3
cispt-sensitive-1,rec6990,1,A,2,FALSE,YGR092W; DBF2
cispt-sensitive-1,rec7160,1,A,3,FALSE,YBR100W; MMS4
cispt-sensitive-1,rec4530,1,A,4,FALSE,YGL163C; RAD54
cispt-sensitive-1,rec4425,1,A,5,FALSE,YGL058W; RAD6
cispt-sensitive-1,rec1643,1,A,6,FALSE,YOR346W; REV1
cispt-sensitive-1,rec2085,1,A,7,FALSE,YPL167C; REV3
cispt-sensitive-1,rec1171,1,A,8,FALSE,YNL273W; TOF1
cispt-sensitive-1,rec3756,1,A,9,FALSE,YDL059C; RAD59
cispt-sensitive-1,rec4318,1,A,10,FALSE,YDR484W; VPS52
cispt-sensitive-1,rec1642,1,A,11,FALSE,YOR345C; 
cispt-sensitive-1,rec7202,1,A,12,TRUE,YDR007W; TRP1
cispt-sensitive-1,rec4438,1,B,1,FALSE,YGL071W; AFT1
cispt-sensitive-1,rec2458,1,B,2,TRUE,YOR202W; HIS3
cispt-sensitive-1,rec4222,1,B,3,FALSE,YDR386W; MUS81
cispt-sensitive-1,rec2806,1,B,4,FALSE,YPL022W; RAD1
cispt-sensitive-1,rec3210,1,B,5,FALSE,YBR073W; RDH54
cispt-sensitive-1,rec540,1,B,6,FALSE,YML032C; RAD52
cispt-sensitive-1,rec2298,1,B,7,FALSE,YIL139C; REV7
cispt-sensitive-1,rec5143,1,B,8,FALSE,YLR234W; TOP3
cispt-sensitive-1,rec6850,1,B,9,FALSE,YJR052W; RAD7
cispt-sensitive-1,rec3650,1,B,10,FALSE,YDR291W; HRQ1
cispt-sensitive-1,rec7202,1,B,11,TRUE,YDR007W; TRP1
cispt-sensitive-1,rec6938,1,B,12,FALSE,YJR145C; RPS4A
cispt-sensitive-1,rec387,1,C,1,FALSE,YAL021C; CCR4
cispt-sensitive-1,rec3423,1,C,2,FALSE,YCL016C; DCC1
cispt-sensitive-1,rec2458,1,C,3,TRUE,YOR202W; HIS3
cispt-sensitive-1,rec6743,1,C,4,FALSE,YMR137C; PSO2
cispt-sensitive-1,rec787,1,C,5,FALSE,YMR201C; RAD14
cispt-sensitive-1,rec6464,1,C,6,FALSE,YNL250W; RAD50
cispt-sensitive-1,rec1490,1,C,7,FALSE,YLL002W; RTT109
cispt-sensitive-1,rec1962,1,C,8,FALSE,YHR134W; WSS1
cispt-sensitive-1,rec1376,1,C,9,FALSE,YJL047C; RTT101
cispt-sensitive-1,rec7202,1,C,10,TRUE,YDR007W; TRP1
cispt-sensitive-1,rec519,1,C,11,FALSE,YML052W; SUR7
cispt-sensitive-1,rec4225,1,C,12,FALSE,YDR389W; SAC7
cispt-sensitive-1,rec614,1,D,1,FALSE,YMR038C; CCS1
cispt-sensitive-1,rec6421,1,D,2,FALSE,YHR191C; CTF8
cispt-sensitive-1,rec407,1,D,3,FALSE,YAR002W; NUP60
cispt-sensitive-1,rec2458,1,D,4,TRUE,YOR202W; HIS3
cispt-sensitive-1,rec6492,1,D,5,FALSE,YML095C; RAD10
cispt-sensitive-1,rec6401,1,D,6,FALSE,YER095W; RAD51
cispt-sensitive-1,rec5062,1,D,7,FALSE,YKL212W; SAC1
