"allele_id","allele_name","allele_type"
"S000000814-1-KanMX","pre1-1","TS allele with KanMX marker"
"S000001710-1-KanMX","pap1-1","TS allele with KanMX marker"
"S000003417-1-KanMX","tys1-1","TS allele with KanMX marker"
"S000001229-1-KanMX","kog1-1","TS allele with KanMX marker"
"S000003954-3-KanMX","gpi13-3","TS allele with KanMX marker"
"S000003538-2-KanMX","pre3-2","TS allele with KanMX marker"
"S000003954-5-KanMX","gpi13-5","TS allele with KanMX marker"
"S000004723-2-KanMX","spc24 4-2","TS allele with KanMX marker"
"S000004016-1-KanMX","sed5-1","TS allele with KanMX marker"
"S000004778-1-KanMX","cep3-1","TS allele with KanMX marker"
"S000004068-1-KanMX","bos1-1","TS allele with KanMX marker"
"S000000264-1-KanMX","orc2-1","TS allele with KanMX marker"
"S000004451-1-KanMX","gab1-1","TS allele with KanMX marker"
"S000003826-g302y-KanMX","arp3-g302y","TS allele with KanMX marker"
"S000004451-2-KanMX","gab1-2","TS allele with KanMX marker"
"S000003826-h161a-KanMX","arp3-h161a","TS allele with KanMX marker"
"S000004451-3-KanMX","gab1-3","TS allele with KanMX marker"
"S000003826-g15c-KanMX","arp3-g15c","TS allele with KanMX marker"
"S000004599-1-KanMX","ero1-1","TS allele with KanMX marker"
"S000003826-f306g-KanMX","arp3-f306g","TS allele with KanMX marker"
"S000005675-2-KanMX","smp3-2","TS allele with KanMX marker"
"S000002266-ts-KanMX","kin28-ts","TS allele with KanMX marker"
"S000001049-td-KanMX","erg11-td","TS allele with KanMX marker"
"S000001412-1-KanMX","mcm10-1","TS allele with KanMX marker"
"S000006369-td-KanMX","rho1-td","TS allele with KanMX marker"
"S000000119-1-KanMX","mcm2-1","TS allele with KanMX marker"
"S000005207-td-KanMX","yif1-td","TS allele with KanMX marker"
"S000000758-1-KanMX","mcm3-1","TS allele with KanMX marker"
"S000002260-7-KanMX","cdc2-7","TS allele with KanMX marker"
"S000001572-3-KanMX","mif2-3","TS allele with KanMX marker"
"S000002772-ts-KanMX","cdc40-ts","TS allele with KanMX marker"
"S000006132-1-KanMX","nip7-1","TS allele with KanMX marker"
"S000001528-1-KanMX","pri2-1","TS allele with KanMX marker"
"S000005211-104-KanMX","pik1-104","TS allele with KanMX marker"
"S000005206-12-KanMX","pol2-12","TS allele with KanMX marker"
"S000005211-139-KanMX","pik1-139","TS allele with KanMX marker"
"S000000441-1-KanMX","prp5-1","TS allele with KanMX marker"
"S000003818-2-KanMX","cdc8-2","TS allele with KanMX marker"
"S000004848-1-KanMX","rna1-1","TS allele with KanMX marker"
"S000004301-1-KanMX","cdc25-1","TS allele with KanMX marker"
"S000006006-2-KanMX","sec16-2","TS allele with KanMX marker"
"S000000306-102-KanMX","exo84-102","TS allele with KanMX marker"
"S000002764-220-KanMX","spc110-220","TS allele with KanMX marker"
"S000006130-2-KanMX","ipl1-2","TS allele with KanMX marker"
"S000003626-1-KanMX","dpb11-1","TS allele with KanMX marker"
"S000004078-ts-KanMX","gaa1-ts","TS allele with KanMX marker"
"S000004723-1-KanMX","spc24 10-1","TS allele with KanMX marker"
"S000002284-3-KanMX","cdc48-3","TS allele with KanMX marker"
"S000000039-5-KanMX","cdc24-5","TS allele with KanMX marker"
"S000002284-2-KanMX","cdc48-2","TS allele with KanMX marker"
"S000005309-1-KanMX","sec12-1","TS allele with KanMX marker"
"S000003571-159-KanMX","kar2-159","TS allele with KanMX marker"
"S000005499-e72g-KanMX","cdc33-e72g","TS allele with KanMX marker"
"S000001889-8-KanMX","sec4-8","TS allele with KanMX marker"
"S000005601-1-KanMX","ufe1-1","TS allele with KanMX marker"
"S000002461-2-KanMX","cdc34-2","TS allele with KanMX marker"
"S000004370-2-KanMX","sec61-2","TS allele with KanMX marker"
"S000000264-4-KanMX","orc2-4","TS allele with KanMX marker"
"S000001855-111-KanMX","act1-111","TS allele with KanMX marker"
"S000001855-119-KanMX","act1-119","TS allele with KanMX marker"
"S000000264-2-KanMX","orc2-2","TS allele with KanMX marker"
"S000001855-132-KanMX","act1-132","TS allele with KanMX marker"
"S000004258-3-KanMX","sec22-3","TS allele with KanMX marker"
"S000004219-1-KanMX","cdc42-1","TS allele with KanMX marker"
"S000006259-9-KanMX","sec8-9","TS allele with KanMX marker"
"S000005888-1-KanMX","prt1-1","TS allele with KanMX marker"
