chromosome,arm,gene_id_a,gene_id_b,orf_id_a,orf_id_b,gene_name_a,gene_name_b,distance
17,NA,S000007257,S000007257,Q0010,Q0010,Q0010,Q0010,0
17,NA,S000007257,S000007258,Q0010,Q0017,Q0010,Q0017,0
17,NA,S000007257,S000007259,Q0010,Q0032,Q0010,Q0032,7329
17,NA,S000007257,S000007261,Q0010,Q0050,Q0010,AI1,9480
17,NA,S000007257,S000007262,Q0010,Q0055,Q0010,AI2,9480
17,NA,S000007257,S000007263,Q0010,Q0060,Q0010,AI3,9480
17,NA,S000007257,S000007264,Q0010,Q0065,Q0010,AI4,9480
17,NA,S000007257,S000007265,Q0010,Q0070,Q0010,AI5_ALPHA,9480
17,NA,S000007257,S000007260,Q0010,Q0045,Q0010,COX1,9480
17,NA,S000007257,S000007266,Q0010,Q0075,Q0010,AI5_BETA,19818
17,NA,S000007257,S000007267,Q0010,Q0080,Q0010,ATP8,23328
17,NA,S000007257,S000007268,Q0010,Q0085,Q0010,ATP6,24149
17,NA,S000007257,S000007269,Q0010,Q0092,Q0010,Q0092,26536
17,NA,S000007257,S000007271,Q0010,Q0110,Q0010,BI2,32202
17,NA,S000007257,S000007272,Q0010,Q0115,Q0010,BI3,32202
17,NA,S000007257,S000007273,Q0010,Q0120,Q0010,BI4,32202
17,NA,S000007257,S000007270,Q0010,Q0105,Q0010,COB,32202
17,NA,S000007257,S000007274,Q0010,Q0130,Q0010,OLI1,42385
17,NA,S000007257,S000007275,Q0010,Q0140,Q0010,VAR1,44563
17,NA,S000007257,S000007276,Q0010,Q0142,Q0010,Q0142,46714
17,NA,S000007257,S000007277,Q0010,Q0143,Q0010,Q0143,46939
17,NA,S000007257,S000007278,Q0010,Q0144,Q0010,Q0144,49771
17,NA,S000007257,S000007279,Q0010,Q0160,Q0010,SCEI,56684
17,NA,S000007257,S000007280,Q0010,Q0182,Q0010,Q0182,61432
17,NA,S000007257,S000007281,Q0010,Q0250,Q0010,COX2,69420
17,NA,S000007257,S000007282,Q0010,Q0255,Q0010,Q0255,70157
17,NA,S000007257,S000007283,Q0010,Q0275,Q0010,COX3,74875
17,NA,S000007257,S000007284,Q0010,Q0297,Q0010,Q0297,81216
17,NA,S000007258,S000007257,Q0017,Q0010,Q0017,Q0010,0
17,NA,S000007258,S000007258,Q0017,Q0017,Q0017,Q0017,0
17,NA,S000007258,S000007259,Q0017,Q0032,Q0017,Q0032,7252
17,NA,S000007258,S000007261,Q0017,Q0050,Q0017,AI1,9403
17,NA,S000007258,S000007262,Q0017,Q0055,Q0017,AI2,9403
17,NA,S000007258,S000007263,Q0017,Q0060,Q0017,AI3,9403
17,NA,S000007258,S000007264,Q0017,Q0065,Q0017,AI4,9403
17,NA,S000007258,S000007265,Q0017,Q0070,Q0017,AI5_ALPHA,9403
17,NA,S000007258,S000007260,Q0017,Q0045,Q0017,COX1,9403
17,NA,S000007258,S000007266,Q0017,Q0075,Q0017,AI5_BETA,19741
17,NA,S000007258,S000007267,Q0017,Q0080,Q0017,ATP8,23251
17,NA,S000007258,S000007268,Q0017,Q0085,Q0017,ATP6,24072
17,NA,S000007258,S000007269,Q0017,Q0092,Q0017,Q0092,26459
17,NA,S000007258,S000007271,Q0017,Q0110,Q0017,BI2,32125
17,NA,S000007258,S000007272,Q0017,Q0115,Q0017,BI3,32125
17,NA,S000007258,S000007273,Q0017,Q0120,Q0017,BI4,32125
17,NA,S000007258,S000007270,Q0017,Q0105,Q0017,COB,32125
17,NA,S000007258,S000007274,Q0017,Q0130,Q0017,OLI1,42308
17,NA,S000007258,S000007275,Q0017,Q0140,Q0017,VAR1,44486
17,NA,S000007258,S000007276,Q0017,Q0142,Q0017,Q0142,46637
17,NA,S000007258,S000007277,Q0017,Q0143,Q0017,Q0143,46862
17,NA,S000007258,S000007278,Q0017,Q0144,Q0017,Q0144,49694
17,NA,S000007258,S000007279,Q0017,Q0160,Q0017,SCEI,56607
17,NA,S000007258,S000007280,Q0017,Q0182,Q0017,Q0182,61355
17,NA,S000007258,S000007281,Q0017,Q0250,Q0017,COX2,69343
17,NA,S000007258,S000007282,Q0017,Q0255,Q0017,Q0255,70080
17,NA,S000007258,S000007283,Q0017,Q0275,Q0017,COX3,74798
17,NA,S000007258,S000007284,Q0017,Q0297,Q0017,Q0297,81139
17,NA,S000007259,S000007257,Q0032,Q0010,Q0032,Q0010,7329
17,NA,S000007259,S000007258,Q0032,Q0017,Q0032,Q0017,7252
17,NA,S000007259,S000007259,Q0032,Q0032,Q0032,Q0032,0
17,NA,S000007259,S000007261,Q0032,Q0050,Q0032,AI1,1861
17,NA,S000007259,S000007262,Q0032,Q0055,Q0032,AI2,1861
17,NA,S000007259,S000007263,Q0032,Q0060,Q0032,AI3,1861
17,NA,S000007259,S000007264,Q0032,Q0065,Q0032,AI4,1861
17,NA,S000007259,S000007265,Q0032,Q0070,Q0032,AI5_ALPHA,1861
17,NA,S000007259,S000007260,Q0032,Q0045,Q0032,COX1,1861
17,NA,S000007259,S000007266,Q0032,Q0075,Q0032,AI5_BETA,12199
17,NA,S000007259,S000007267,Q0032,Q0080,Q0032,ATP8,15709
17,NA,S000007259,S000007268,Q0032,Q0085,Q0032,ATP6,16530
17,NA,S000007259,S000007269,Q0032,Q0092,Q0032,Q0092,18917
17,NA,S000007259,S000007271,Q0032,Q0110,Q0032,BI2,24583
17,NA,S000007259,S000007272,Q0032,Q0115,Q0032,BI3,24583
17,NA,S000007259,S000007273,Q0032,Q0120,Q0032,BI4,24583
17,NA,S000007259,S000007270,Q0032,Q0105,Q0032,COB,24583
17,NA,S000007259,S000007274,Q0032,Q0130,Q0032,OLI1,34766
17,NA,S000007259,S000007275,Q0032,Q0140,Q0032,VAR1,36944
17,NA,S000007259,S000007276,Q0032,Q0142,Q0032,Q0142,39095
17,NA,S000007259,S000007277,Q0032,Q0143,Q0032,Q0143,39320
17,NA,S000007259,S000007278,Q0032,Q0144,Q0032,Q0144,42152
17,NA,S000007259,S000007279,Q0032,Q0160,Q0032,SCEI,49065
17,NA,S000007259,S000007280,Q0032,Q0182,Q0032,Q0182,53813
17,NA,S000007259,S000007281,Q0032,Q0250,Q0032,COX2,61801
17,NA,S000007259,S000007282,Q0032,Q0255,Q0032,Q0255,62538
17,NA,S000007259,S000007283,Q0032,Q0275,Q0032,COX3,67256
17,NA,S000007259,S000007284,Q0032,Q0297,Q0032,Q0297,73597
17,NA,S000007261,S000007257,Q0050,Q0010,AI1,Q0010,9480
17,NA,S000007261,S000007258,Q0050,Q0017,AI1,Q0017,9403
17,NA,S000007261,S000007259,Q0050,Q0032,AI1,Q0032,1861
17,NA,S000007261,S000007261,Q0050,Q0050,AI1,AI1,0
17,NA,S000007261,S000007262,Q0050,Q0055,AI1,AI2,0
17,NA,S000007261,S000007263,Q0050,Q0060,AI1,AI3,0
17,NA,S000007261,S000007264,Q0050,Q0065,AI1,AI4,0
17,NA,S000007261,S000007265,Q0050,Q0070,AI1,AI5_ALPHA,0
17,NA,S000007261,S000007260,Q0050,Q0045,AI1,COX1,0
17,NA,S000007261,S000007266,Q0050,Q0075,AI1,AI5_BETA,7834
17,NA,S000007261,S000007267,Q0050,Q0080,AI1,ATP8,11344
17,NA,S000007261,S000007268,Q0050,Q0085,AI1,ATP6,12165
17,NA,S000007261,S000007269,Q0050,Q0092,AI1,Q0092,14552
17,NA,S000007261,S000007271,Q0050,Q0110,AI1,BI2,20218
17,NA,S000007261,S000007272,Q0050,Q0115,AI1,BI3,20218
17,NA,S000007261,S000007273,Q0050,Q0120,AI1,BI4,20218
17,NA,S000007261,S000007270,Q0050,Q0105,AI1,COB,20218
17,NA,S000007261,S000007274,Q0050,Q0130,AI1,OLI1,30401
17,NA,S000007261,S000007275,Q0050,Q0140,AI1,VAR1,32579
17,NA,S000007261,S000007276,Q0050,Q0142,AI1,Q0142,34730
17,NA,S000007261,S000007277,Q0050,Q0143,AI1,Q0143,34955
17,NA,S000007261,S000007278,Q0050,Q0144,AI1,Q0144,37787
17,NA,S000007261,S000007279,Q0050,Q0160,AI1,SCEI,44700
17,NA,S000007261,S000007280,Q0050,Q0182,AI1,Q0182,49448
17,NA,S000007261,S000007281,Q0050,Q0250,AI1,COX2,57436
17,NA,S000007261,S000007282,Q0050,Q0255,AI1,Q0255,58173
17,NA,S000007261,S000007283,Q0050,Q0275,AI1,COX3,62891
17,NA,S000007261,S000007284,Q0050,Q0297,AI1,Q0297,69232
17,NA,S000007262,S000007257,Q0055,Q0010,AI2,Q0010,9480
17,NA,S000007262,S000007258,Q0055,Q0017,AI2,Q0017,9403
17,NA,S000007262,S000007259,Q0055,Q0032,AI2,Q0032,1861
17,NA,S000007262,S000007261,Q0055,Q0050,AI2,AI1,0
17,NA,S000007262,S000007262,Q0055,Q0055,AI2,AI2,0
17,NA,S000007262,S000007263,Q0055,Q0060,AI2,AI3,0
17,NA,S000007262,S000007264,Q0055,Q0065,AI2,AI4,0
17,NA,S000007262,S000007265,Q0055,Q0070,AI2,AI5_ALPHA,0
17,NA,S000007262,S000007260,Q0055,Q0045,AI2,COX1,0
17,NA,S000007262,S000007266,Q0055,Q0075,AI2,AI5_BETA,5326
17,NA,S000007262,S000007267,Q0055,Q0080,AI2,ATP8,8836
17,NA,S000007262,S000007268,Q0055,Q0085,AI2,ATP6,9657
17,NA,S000007262,S000007269,Q0055,Q0092,AI2,Q0092,12044
17,NA,S000007262,S000007271,Q0055,Q0110,AI2,BI2,17710
17,NA,S000007262,S000007272,Q0055,Q0115,AI2,BI3,17710
17,NA,S000007262,S000007273,Q0055,Q0120,AI2,BI4,17710
17,NA,S000007262,S000007270,Q0055,Q0105,AI2,COB,17710
17,NA,S000007262,S000007274,Q0055,Q0130,AI2,OLI1,27893
17,NA,S000007262,S000007275,Q0055,Q0140,AI2,VAR1,30071
17,NA,S000007262,S000007276,Q0055,Q0142,AI2,Q0142,32222
17,NA,S000007262,S000007277,Q0055,Q0143,AI2,Q0143,32447
17,NA,S000007262,S000007278,Q0055,Q0144,AI2,Q0144,35279
17,NA,S000007262,S000007279,Q0055,Q0160,AI2,SCEI,42192
17,NA,S000007262,S000007280,Q0055,Q0182,AI2,Q0182,46940
17,NA,S000007262,S000007281,Q0055,Q0250,AI2,COX2,54928
17,NA,S000007262,S000007282,Q0055,Q0255,AI2,Q0255,55665
17,NA,S000007262,S000007283,Q0055,Q0275,AI2,COX3,60383
17,NA,S000007262,S000007284,Q0055,Q0297,AI2,Q0297,66724
