chromosome,arm,gene_id_a,gene_id_b,orf_id_a,orf_id_b,gene_name_a,gene_name_b,distance
5,right,S000000803,S000000803,YER001W,YER001W,MNN1,MNN1,0
5,right,S000000803,S000000804,YER001W,YER002W,MNN1,NOP16,995
5,right,S000000803,S000000805,YER001W,YER003C,MNN1,PMI40,1928
5,right,S000000803,S000000806,YER001W,YER004W,MNN1,FMP52,3772
5,right,S000000803,S000000807,YER001W,YER005W,MNN1,YND1,4742
5,right,S000000803,S000000808,YER001W,YER006W,MNN1,NUG1,6915
5,right,S000000803,S000000809,YER001W,YER007W,MNN1,PAC2,8719
5,right,S000000803,S000028745,YER001W,YER006C-A,MNN1,YER006C-A,8536
5,right,S000000803,S000002957,YER001W,YER007C-A,MNN1,TMA20,10429
5,right,S000000803,S000000810,YER001W,YER008C,MNN1,SEC3,12000
5,right,S000000803,S000000811,YER001W,YER009W,MNN1,NTF2,16307
5,right,S000000803,S000000812,YER001W,YER010C,MNN1,YER010C,16826
5,right,S000000803,S000000813,YER001W,YER011W,MNN1,TIR1,19440
5,right,S000000803,S000000814,YER001W,YER012W,MNN1,PRE1,22027
5,right,S000000803,S000000815,YER001W,YER013W,MNN1,PRP22,23033
5,right,S000000803,S000000816,YER001W,YER014W,MNN1,HEM14,26792
5,right,S000000803,S000000817,YER001W,YER015W,MNN1,FAA2,28733
5,right,S000000803,S000007590,YER001W,YER014C-A,MNN1,BUD25,27923
5,right,S000000803,S000000818,YER001W,YER016W,MNN1,BIM1,32469
5,right,S000000803,S000000819,YER001W,YER017C,MNN1,AFG3,33695
5,right,S000000803,S000000820,YER001W,YER018C,MNN1,SPC25,36151
5,right,S000000803,S000000821,YER001W,YER019W,MNN1,ISC1,36989
5,right,S000000803,S000002127,YER001W,YER019C-A,MNN1,SBH2,38465
5,right,S000000803,S000000822,YER001W,YER020W,MNN1,GPA2,39360
5,right,S000000803,S000000823,YER001W,YER021W,MNN1,RPN3,41140
5,right,S000000803,S000000824,YER001W,YER022W,MNN1,SRB4,43004
5,right,S000000803,S000000825,YER001W,YER023W,MNN1,PRO3,45268
5,right,S000000803,S000028622,YER001W,YER023C-A,MNN1,YER023C-A,45714
5,right,S000000803,S000000826,YER001W,YER024W,MNN1,YAT2,46384
5,right,S000000803,S000000827,YER001W,YER025W,MNN1,GCD11,49443
5,right,S000000803,S000000828,YER001W,YER026C,MNN1,CHO1,51836
5,right,S000000803,S000000829,YER001W,YER027C,MNN1,GAL83,53171
5,right,S000000803,S000000830,YER001W,YER028C,MNN1,MIG3,54884
5,right,S000000803,S000000831,YER001W,YER029C,MNN1,SMB1,56779
5,right,S000000803,S000000832,YER001W,YER030W,MNN1,CHZ1,57629
5,right,S000000803,S000000833,YER001W,YER031C,MNN1,YPT31,58268
5,right,S000000803,S000000834,YER001W,YER032W,MNN1,FIR1,59255
5,right,S000000803,S000000835,YER001W,YER033C,MNN1,ZRG8,62249
5,right,S000000803,S000000836,YER001W,YER034W,MNN1,YER034W,66038
5,right,S000000803,S000000837,YER001W,YER035W,MNN1,EDC2,66831
5,right,S000000803,S000000838,YER001W,YER036C,MNN1,ARB1,67559
5,right,S000000803,S000000839,YER001W,YER037W,MNN1,PHM8,70081
5,right,S000000803,S000000840,YER001W,YER038C,MNN1,KRE29,71050
5,right,S000000803,S000028746,YER001W,YER038W-A,MNN1,YER038W-A,72643
5,right,S000000803,S000000841,YER001W,YER039C,MNN1,HVG1,72648
5,right,S000000803,S000007226,YER001W,YER039C-A,MNN1,YER039C-A,73455
5,right,S000000803,S000000842,YER001W,YER040W,MNN1,GLN3,73987
5,right,S000000803,S000000843,YER001W,YER041W,MNN1,YEN1,76653
5,right,S000000803,S000000844,YER001W,YER042W,MNN1,MXR1,79129
5,right,S000000803,S000000845,YER001W,YER043C,MNN1,SAH1,79962
5,right,S000000803,S000000846,YER001W,YER044C,MNN1,ERG28,81762
5,right,S000000803,S000001954,YER001W,YER044C-A,MNN1,MEI4,82652
5,right,S000000803,S000000847,YER001W,YER045C,MNN1,ACA1,84224
5,right,S000000803,S000000848,YER001W,YER046W,MNN1,SPO73,87372
5,right,S000000803,S000028747,YER001W,YER046W-A,MNN1,YER046W-A,87892
5,right,S000000803,S000000849,YER001W,YER047C,MNN1,SAP1,88002
5,right,S000000803,S000000850,YER001W,YER048C,MNN1,CAJ1,91174
5,right,S000000803,S000007237,YER001W,YER048W-A,MNN1,ISD11,94910
5,right,S000000803,S000000851,YER001W,YER049W,MNN1,TPA1,95920
5,right,S000000803,S000000852,YER001W,YER050C,MNN1,RSM18,98163
5,right,S000000803,S000000853,YER001W,YER051W,MNN1,JHD1,98848
5,right,S000000803,S000000854,YER001W,YER052C,MNN1,HOM3,100567
5,right,S000000803,S000000855,YER001W,YER053C,MNN1,PIC2,102929
5,right,S000000803,S000007523,YER001W,YER053C-A,MNN1,YER053C-A,105125
5,right,S000000803,S000000856,YER001W,YER054C,MNN1,GIP2,106244
5,right,S000000803,S000000857,YER001W,YER055C,MNN1,HIS1,109084
5,right,S000000803,S000000858,YER001W,YER056C,MNN1,FCY2,110704
5,right,S000000803,S000002135,YER001W,YER056C-A,MNN1,RPL34A,113615
5,right,S000000803,S000000859,YER001W,YER057C,MNN1,HMF1,114929
5,right,S000000803,S000000860,YER001W,YER058W,MNN1,PET117,115960
5,right,S000000803,S000000861,YER001W,YER059W,MNN1,PCL6,116816
5,right,S000000803,S000000862,YER001W,YER060W,MNN1,FCY21,118759
5,right,S000000803,S000002958,YER001W,YER060W-A,MNN1,FCY22,120764
5,right,S000000803,S000000863,YER001W,YER061C,MNN1,CEM1,122490
5,right,S000000803,S000000864,YER001W,YER062C,MNN1,GPP2,124122
5,right,S000000803,S000000865,YER001W,YER063W,MNN1,THO1,125902
5,right,S000000803,S000000866,YER001W,YER064C,MNN1,VHR2,126897
5,right,S000000803,S000000867,YER001W,YER065C,MNN1,ICL1,129433
5,right,S000000803,S000000868,YER001W,YER066W,MNN1,RRT13,134434
5,right,S000000803,S000000869,YER001W,YER067W,MNN1,RGI1,136258
5,right,S000000803,S000002959,YER001W,YER066C-A,MNN1,YER066C-A,135895
5,right,S000000803,S000028748,YER001W,YER067C-A,MNN1,YER067C-A,136432
5,right,S000000803,S000000870,YER001W,YER068W,MNN1,MOT2,137242
5,right,S000000803,S000000871,YER001W,YER069W,MNN1,"ARG5,6",139602
5,right,S000000803,S000028749,YER001W,YER068C-A,MNN1,YER068C-A,139493
5,right,S000000803,S000000872,YER001W,YER070W,MNN1,RNR1,143142
5,right,S000000803,S000000873,YER001W,YER071C,MNN1,TDA2,146139
5,right,S000000803,S000000874,YER001W,YER072W,MNN1,VTC1,146998
5,right,S000000803,S000000875,YER001W,YER073W,MNN1,ALD5,148222
5,right,S000000803,S000000876,YER001W,YER074W,MNN1,RPS24A,150515
5,right,S000000803,S000007651,YER001W,YER074W-A,MNN1,YOS1,151845
5,right,S000000803,S000000877,YER001W,YER075C,MNN1,PTP3,152605
5,right,S000000803,S000028750,YER001W,YER076W-A,MNN1,YER076W-A,157582
5,right,S000000803,S000000878,YER001W,YER076C,MNN1,YER076C,156782
5,right,S000000803,S000000879,YER001W,YER077C,MNN1,MRX1,158726
5,right,S000000803,S000000880,YER001W,YER078C,MNN1,ICP55,160999
5,right,S000000803,S000028546,YER001W,YER078W-A,MNN1,YER078W-A,162838
5,right,S000000803,S000000881,YER001W,YER079W,MNN1,YER079W,163112
5,right,S000000803,S000000882,YER001W,YER080W,MNN1,AIM9,164155
5,right,S000000803,S000028751,YER001W,YER079C-A,MNN1,YER079C-A,164094
5,right,S000000803,S000000883,YER001W,YER081W,MNN1,SER3,166878
5,right,S000000803,S000000884,YER001W,YER082C,MNN1,UTP7,168464
5,right,S000000803,S000000885,YER001W,YER083C,MNN1,GET2,170366
5,right,S000000803,S000000886,YER001W,YER084W,MNN1,YER084W,171257
5,right,S000000803,S000028752,YER001W,YER084W-A,MNN1,YER084W-A,171790
5,right,S000000803,S000000887,YER001W,YER085C,MNN1,YER085C,171811
5,right,S000000803,S000000888,YER001W,YER086W,MNN1,ILV1,172669
5,right,S000000803,S000000889,YER001W,YER087W,MNN1,AIM10,174768
5,right,S000000803,S000028753,YER001W,YER087C-A,MNN1,YER087C-A,176009
5,right,S000000803,S000002128,YER001W,YER087C-B,MNN1,SBH1,176774
5,right,S000000803,S000000890,YER001W,YER088C,MNN1,DOT6,177368
5,right,S000000803,S000028623,YER001W,YER088W-B,MNN1,YER088W-B,180119
5,right,S000000803,S000028754,YER001W,YER088C-A,MNN1,YER088C-A,179888
5,right,S000000803,S000000891,YER001W,YER089C,MNN1,PTC2,180138
5,right,S000000803,S000000892,YER001W,YER090W,MNN1,TRP2,182141
5,right,S000000803,S000029725,YER001W,YER090C-A,MNN1,YER090C-A,182514
5,right,S000000803,S000000893,YER001W,YER091C,MNN1,MET6,184056
5,right,S000000803,S000007238,YER001W,YER091C-A,MNN1,YER091C-A,186582
5,right,S000000803,S000000894,YER001W,YER092W,MNN1,IES5,187047
5,right,S000000803,S000000895,YER001W,YER093C,MNN1,TSC11,187512
5,right,S000000803,S000002960,YER001W,YER093C-A,MNN1,AIM11,192104
5,right,S000000803,S000000896,YER001W,YER094C,MNN1,PUP3,192921
5,right,S000000803,S000000897,YER001W,YER095W,MNN1,RAD51,194172
5,right,S000000803,S000000898,YER001W,YER096W,MNN1,SHC1,195890
5,right,S000000803,S000000899,YER001W,YER097W,MNN1,YER097W,199332
5,right,S000000803,S000000900,YER001W,YER098W,MNN1,UBP9,199658
5,right,S000000803,S000000901,YER001W,YER099C,MNN1,PRS2,202297
