chromosome,arm,gene_id_a,gene_id_b,orf_id_a,orf_id_b,gene_name_a,gene_name_b,distance
2,left,S000028599,S000028599,YBL113W-A,YBL113W-A,YBL113W-A,YBL113W-A,0
2,left,S000028599,S000002153,YBL113W-A,YBL113C,YBL113W-A,YBL113C,0
2,left,S000028599,S000002152,YBL113W-A,YBL112C,YBL113W-A,YBL112C,1454
2,left,S000028599,S000002151,YBL113W-A,YBL111C,YBL113W-A,YBL111C,1779
2,left,S000028599,S000002150,YBL113W-A,YBL109W,YBL113W-A,YBL109W,4662
2,left,S000028599,S000007592,YBL113W-A,YBL108C-A,YBL113W-A,PAU9,6477
2,left,S000028599,S000000204,YBL113W-A,YBL108W,YBL113W-A,YBL108W,7049
2,left,S000028599,S000007229,YBL113W-A,YBL107W-A,YBL113W-A,YBL107W-A,8140
2,left,S000028599,S000000203,YBL113W-A,YBL107C,YBL113W-A,MIX23,8833
2,left,S000028599,S000000202,YBL113W-A,YBL106C,YBL113W-A,SRO77,9719
2,left,S000028599,S000000201,YBL113W-A,YBL105C,YBL113W-A,PKC1,13113
2,left,S000028599,S000000200,YBL113W-A,YBL104C,YBL113W-A,SEA4,17049
2,left,S000028599,S000000199,YBL113W-A,YBL103C,YBL113W-A,RTG3,20948
2,left,S000028599,S000000198,YBL113W-A,YBL102W,YBL113W-A,SFT2,22970
2,left,S000028599,S000000197,YBL113W-A,YBL101C,YBL113W-A,ECM21,23818
2,left,S000028599,S000028598,YBL113W-A,YBL100W-C,YBL113W-A,YBL100W-C,27299
2,left,S000028599,S000000195,YBL113W-A,YBL099W,YBL113W-A,ATP1,35925
2,left,S000028599,S000000196,YBL113W-A,YBL100C,YBL113W-A,YBL100C,35861
2,left,S000028599,S000000194,YBL113W-A,YBL098W,YBL113W-A,BNA4,38017
2,left,S000028599,S000000193,YBL113W-A,YBL097W,YBL113W-A,BRN1,39703
2,left,S000028599,S000000191,YBL113W-A,YBL095W,YBL113W-A,MRX3,42149
2,left,S000028599,S000000192,YBL113W-A,YBL096C,YBL113W-A,YBL096C,42046
2,left,S000028599,S000000190,YBL113W-A,YBL094C,YBL113W-A,YBL094C,42637
2,left,S000028599,S000000189,YBL113W-A,YBL093C,YBL113W-A,ROX3,43128
2,left,S000028599,S000000188,YBL113W-A,YBL092W,YBL113W-A,RPL32,44850
2,left,S000028599,S000007228,YBL113W-A,YBL091C-A,YBL113W-A,SCS22,45437
2,left,S000028599,S000000187,YBL113W-A,YBL091C,YBL113W-A,MAP2,46235
2,left,S000028599,S000000186,YBL113W-A,YBL090W,YBL113W-A,MRP21,47697
2,left,S000028599,S000000185,YBL113W-A,YBL089W,YBL113W-A,AVT5,48446
2,left,S000028599,S000000184,YBL113W-A,YBL088C,YBL113W-A,TEL1,49891
2,left,S000028599,S000000183,YBL113W-A,YBL087C,YBL113W-A,RPL23A,58694
2,left,S000028599,S000000182,YBL113W-A,YBL086C,YBL113W-A,YBL086C,60074
2,left,S000028599,S000000181,YBL113W-A,YBL085W,YBL113W-A,BOI1,62748
2,left,S000028599,S000000180,YBL113W-A,YBL084C,YBL113W-A,CDC27,66041
2,left,S000028599,S000000179,YBL113W-A,YBL083C,YBL113W-A,YBL083C,68585
2,left,S000028599,S000000178,YBL113W-A,YBL082C,YBL113W-A,ALG3,68623
2,left,S000028599,S000000177,YBL113W-A,YBL081W,YBL113W-A,YBL081W,70738
2,left,S000028599,S000000176,YBL113W-A,YBL080C,YBL113W-A,PET112,71942
2,left,S000028599,S000000175,YBL113W-A,YBL079W,YBL113W-A,NUP170,74131
2,left,S000028599,S000000174,YBL113W-A,YBL078C,YBL113W-A,ATG8,79250
2,left,S000028599,S000000173,YBL113W-A,YBL077W,YBL113W-A,YBL077W,79769
2,left,S000028599,S000000172,YBL113W-A,YBL076C,YBL113W-A,ILS1,79915
2,left,S000028599,S000000171,YBL113W-A,YBL075C,YBL113W-A,SSA3,83371
