chromosome,arm,gene_id_a,gene_id_b,orf_id_a,orf_id_b,gene_name_a,gene_name_b,distance
2-micron,NA,S000029654,S000029654,R0010W,R0010W,FLP1,FLP1,0
2-micron,NA,S000029654,S000029675,R0010W,R0020C,FLP1,REP1,364
2-micron,NA,S000029654,S000029674,R0010W,R0030W,FLP1,RAF1,1748
2-micron,NA,S000029654,S000029676,R0010W,R0040C,FLP1,REP2,3785
2-micron,NA,S000029675,S000029654,R0020C,R0010W,REP1,FLP1,364
2-micron,NA,S000029675,S000029675,R0020C,R0020C,REP1,REP1,0
2-micron,NA,S000029675,S000029674,R0020C,R0030W,REP1,RAF1,263
2-micron,NA,S000029675,S000029676,R0020C,R0040C,REP1,REP2,2300
2-micron,NA,S000029674,S000029654,R0030W,R0010W,RAF1,FLP1,1748
2-micron,NA,S000029674,S000029675,R0030W,R0020C,RAF1,REP1,263
2-micron,NA,S000029674,S000029674,R0030W,R0030W,RAF1,RAF1,0
2-micron,NA,S000029674,S000029676,R0030W,R0040C,RAF1,REP2,1492
2-micron,NA,S000029676,S000029654,R0040C,R0010W,REP2,FLP1,3785
2-micron,NA,S000029676,S000029675,R0040C,R0020C,REP2,REP1,2300
2-micron,NA,S000029676,S000029674,R0040C,R0030W,REP2,RAF1,1492
2-micron,NA,S000029676,S000029676,R0040C,R0040C,REP2,REP2,0
